week_ending_date,Manager,InShop,Driver,Tax,DMR,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost
01/21/2014,0.0,269.0432,173.6375,50.6869,0.8,494.1676,0.0,0.0,0.0,0.0,0.0,494.1676
01/28/2014,1652.2471,1548.2445,1056.4975,487.4253,40.97,4785.384400000001,0.0,0.0,0.0,0.0,0.0,4785.384400000001
02/04/2014,1474.8333,1663.9792,1044.0946,478.9429,67.43,4729.280000000001,0.0,0.0,0.0,0.0,0.0,4729.280000000001
02/11/2014,1259.3186,1817.2817,1044.996,471.9228,139.78,4733.2991,0.0,0.0,0.0,0.0,0.0,4733.2991
02/18/2014,1406.8057,1747.4406,1125.1888,489.9953,112.02,4881.4504,130.0,0.0,14.885,0.0,144.885,5026.3354
02/25/2014,1498.0336,1772.5254,1065.5657,496.4863,160.11,4992.7210000000005,0.0,0.0,0.0,0.0,0.0,4992.7210000000005
03/04/2014,1493.8427,1744.9673,924.3124,476.6775,196.43,4836.2299,0.0,0.0,0.0,0.0,0.0,4836.2299
03/11/2014,1504.0305,1869.904,960.3503,496.2756,248.54,5079.1004,0.0,0.0,0.0,0.0,0.0,5079.1004
03/18/2014,1486.5001,1734.2569,971.732,480.04,230.52,4903.049,0.0,0.0,0.0,0.0,0.0,4903.049
03/25/2014,1511.2826,1906.9951,1076.8982,514.6976,218.22,5228.0935,0.0,0.0,0.0,0.0,0.0,5228.0935
04/01/2014,1504.5336,1930.391,950.7182,502.1561,239.03,5126.8289,0.0,0.0,0.0,0.0,0.0,5126.8289
04/08/2014,1543.9098,1815.1802,924.1513,490.4311,238.96,5012.6323999999995,130.0,0.0,14.885,0.0,144.885,5157.5174
04/15/2014,1506.4999,1832.4385,1012.0124,498.1839,318.08,5167.2146999999995,0.0,0.0,0.0,0.0,0.0,5167.2146999999995
04/22/2014,1314.8334,1485.6962,835.1054,416.2802,304.01,4355.9252,100.0,0.0,11.45,0.0,111.45,4467.3751999999995
04/29/2014,1507.7421,1632.447,901.2545,462.7453,297.32,4801.508899999999,0.0,0.0,0.0,0.0,0.0,4801.508899999999
05/06/2014,1501.447,1605.8297,952.6822,464.8653,269.17,4793.9942,0.0,0.0,0.0,0.0,0.0,4793.9942
05/13/2014,1419.1336,1657.0497,939.61,459.8083,242.26,4717.8616,100.0,0.0,11.45,0.0,111.45,4829.3116
05/20/2014,1498.3334,1607.2025,961.9402,465.726,363.51,4896.7121,0.0,0.0,0.0,0.0,0.0,4896.7121
05/27/2014,1418.3333,1465.4111,1044.4043,449.773,263.24,4641.1617,0.0,0.0,0.0,0.0,0.0,4641.1617
06/03/2014,1433.4999,1507.2965,970.7455,447.8715,293.44,4652.8534,0.0,0.0,0.0,0.0,0.0,4652.8534
06/10/2014,1503.9999,1568.2902,980.4248,464.0359,244.69,4761.440799999999,0.0,0.0,0.0,0.0,0.0,4761.440799999999
06/17/2014,1434.3005,1553.6998,1112.1699,469.4695,278.13,4847.769700000001,390.0,0.0,44.655,0.0,434.655,5282.4247000000005
06/24/2014,1531.8334,1455.5792,1136.2712,472.1618,249.77,4845.6156,0.0,0.0,0.0,0.0,0.0,4845.6156
07/01/2014,1595.1492,1393.5987,1097.3671,467.8602,259.05,4813.0252,0.0,0.0,0.0,0.0,0.0,4813.0252
07/08/2014,1074.8334,1537.78,1212.8391,438.0143,217.57,4481.0368,520.0,0.0,59.54,0.0,579.54,5060.5768
07/15/2014,1611.6159,1672.7504,1052.6559,496.589,304.13,5137.7411999999995,200.0,0.0,22.9,0.0,222.9,5360.641199999999
07/22/2014,1315.6525,1498.2178,1271.2784,467.7495,305.75,4858.6482,200.0,0.0,22.9,0.0,222.9,5081.548199999999
