week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Beverage 4316,Catering 4320,Operating Supplies 5220,Fuel Surcharge,Discounts,Delivery Charges,Tax,Invoice Totals,Aprons-Floor Mats 5285
01/21/2014,011914 (1156126),01/19/2014,0,Local SuperMarket,0,0.0,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.69,0.0
01/21/2014, (1156134),01/17/2014,0,Sysco Food Services,0,441.45,2993.9722,678.23,409.23,54.16,108.73,78.06,7.0,0,0,19.96,4790.7922,0.0
01/21/2014,602701543 (1156148),01/17/2014,0,Sysco Food Services,0,0.0,0.0,0.0,34.58,0.0,0.0,0.0,0.0,0,0,0.0,34.58,0.0
01/21/2014,Transfer IN - 81057,01/17/2014,01/17/2014,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,0.0,0.0,0.0,433.7,0.0,0.0,0.0,0,0,0.0,433.7,0.0
01/28/2014,012514 (1163758),01/26/2014,0,Local SuperMarket,0,0.0,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.69,0.0
01/28/2014,602731708 (1163789),01/23/2014,0,Sysco Food Services,0,236.0,1159.1363,125.18,31.61,397.51,0.0,189.79,7.0,0,0,8.9,2155.1263,0.0
02/04/2014,602773797 (1172734),01/30/2014,0,Sysco Food Services,0,486.97,1264.9484,425.59,259.25,0.0,105.52,15.99,7.0,0,0,8.32,2573.5884,0.0
02/11/2014,020514 (1172709),02/05/2014,0,Local SuperMarket,0,0.0,12.44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,12.44,0.0
02/11/2014,020514 (1175183),02/06/2014,0,Local SuperMarket,0,0.0,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.69,0.0
02/11/2014,602824200 (1175194),02/06/2014,0,Sysco Food Services,0,454.23,1722.178,400.44,209.73,167.44,0.0,43.9,7.0,0,0,3.63,3008.548,0.0
02/11/2014,0714380 (1182645),02/10/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
02/18/2014,0714865 (1184367),02/14/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
02/18/2014,602873206 (1184372),02/13/2014,0,Sysco Food Services,0,436.46,1664.7888,413.92,108.93,390.73,0.0,0.0,7.0,0,0,0.0,3021.8288,0.0
02/18/2014,0715136 (1189256),02/17/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
02/25/2014,0716171 (1198608),02/25/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
