item,week_ending,category,units_of_measure,beginning_units,unit_purchases_1,unit_purchases_2,unit_purchases_3,unit_purchases_4,total_purchased,on_hand_counts,ending_units,unit_cost,ending_value_usd,usage_units
Mini Loaf,01/06/2015,Bread 4311,ea,485.0,1134.0,0.0,0,0,1134.0,0,712.0,0.43879999999999997,312.4256,907.0
Wheat,01/06/2015,Bread 4311,ea,20.0,64.0,0.0,0,0,64.0,0,37.0,1.4606000000000001,54.0422,47.0
Equal Sugar Substitute,01/06/2015,Food 4312,Case 2000,0.0,0.0,0.0,0,0,0.0,0,0.0,26.94,0.0,0.0
Avo Fresco,01/06/2015,Food 4312,Case,0.0,0.0,0.0,0,0,0.0,0,0.0,1.0,0.0,0.0
Capicola,01/06/2015,Food 4312,lb,13.75,32.4,0.0,0,0,32.4,0,17.0,3.56,60.52,29.15
Salami,01/06/2015,Food 4312,lb,34.75,35.3,0.0,0,0,35.3,0,43.5,3.2007011494252877,139.2305,26.549999999999997
Ham,01/06/2015,Food 4312,lb,78.25,122.3,0.0,0,0,122.3,0,115.0,3.142,361.33,85.55000000000001
Turkey,01/06/2015,Food 4312,lb,85.25,158.4,0.0,0,0,158.4,0,132.0,2.735,361.02,111.65
Beef,01/06/2015,Food 4312,lb,68.0,55.9,0.0,0,0,55.9,0,60.75,4.558,276.8985,63.150000000000006
Bacon,01/06/2015,Food 4312,ea,550.0,1800.0,0.0,0,0,1800.0,0,1200.0,0.17880000000000001,214.56000000000003,1150.0
Cheese,01/06/2015,Food 4312,lb,82.0,139.53,0.0,0,0,139.53,0,100.5,2.6950000000000003,270.8475,121.03
Mayonnaise,01/06/2015,Food 4312,gal mayo,44.75,12.0,0.0,0,0,12.0,0,47.0,8.628499999999999,405.5395,9.75
Oil,01/06/2015,Food 4312,gal oil,9.0,6.0,0.0,0,0,6.0,0,13.5,8.556703703703704,115.5155,1.5
Vinegar,01/06/2015,Food 4312,gal vinegar,9.0,4.0,0.0,0,0,4.0,0,12.25,3.951102040816327,48.401,0.75
Avocado,01/06/2015,Food 4312,avo can,10.0,12.0,0.0,0,0,12.0,0,14.0,3.21,44.94,8.0
Peppers Cherry,01/06/2015,Food 4312,Gal Peppers,19.5,4.0,0.0,0,0,4.0,0,21.25,7.561802352941176,160.6883,2.25
Mustard Dijon,01/06/2015,Food 4312,jar dijon,10.0,6.0,0.0,0,0,6.0,0,14.5,5.255503448275863,76.2048,1.5
Soy Sauce,01/06/2015,Food 4312,gal soy,1.5,0.0,0.0,0,0,0.0,0,1.3,9.715307692307691,12.6299,0.19999999999999996
Tuna,01/06/2015,Food 4312,can tuna,15.5,6.0,0.0,0,0,6.0,0,17.0,8.6523,147.0891,4.5
Pam Spray,01/06/2015,Food 4312,ea,4.0,0.0,0.0,0,0,0.0,0,3.0,2.5223999999999998,7.5672,1.0
Oregano,01/06/2015,Food 4312,cont oregano,1.8,0.0,0.0,0,0,0.0,0,1.7,20.803,35.3651,0.10000000000000009
Basil,01/06/2015,Food 4312,cont basil,1.8,0.0,0.0,0,0,0.0,0,1.7,5.0,8.5,0.10000000000000009
