week_ending_date,Manager,InShop,Driver,Tax,DMR,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Penalty Pay
01/06/2015,1500.5942,1186.662,1070.1948,430.2281,326.69,4514.3691,0.0,0.0,0.0,0.0,0.0,4514.3691,0.0
01/13/2015,1475.1327,1285.5588,1036.8972,434.8239,347.14,4579.552600000001,0.0,130.0,0.0,14.885,144.885,4724.437600000001,0.0
01/20/2015,1472.7929,1201.7037,1110.825,433.4193,363.16,4581.900900000001,0.0,130.0,0.0,14.885,144.885,4726.785900000001,0.0
01/27/2015,1394.21,1257.5802,1103.1123,429.9363,332.53,4517.3688,260.0,130.0,29.77,14.885,434.655,4952.0238,0.0
02/03/2015,1470.0216,1130.3251,1244.4889,440.2337,328.0,4613.0693,0.0,130.0,0.0,14.885,144.885,4757.9543,0.0
02/10/2015,1462.5,1189.23,1246.8918,446.3922,349.54,4694.554,0.0,130.0,0.0,14.885,144.885,4839.439,0.0
02/17/2015,1473.4834,1035.5262,1162.3985,420.3762,329.9,4421.684300000001,90.0,130.0,10.305,14.885,245.19,4666.8743,0.0
02/24/2015,1472.7062,1084.2815,1203.8973,430.6213,379.94,4571.4463,0.0,130.0,0.0,14.885,144.885,4716.3313,0.0
03/03/2015,1407.0304,977.6184,1192.9246,409.6322,371.18,4358.3856000000005,100.0,130.0,11.45,14.885,256.335,4614.720600000001,0.0
03/10/2015,1465.8334,944.2953,1240.3499,417.9798,356.04,4424.4984,0.0,130.0,0.0,14.885,144.885,4569.383400000001,0.0
03/17/2015,1465.3992,891.3628,1239.7512,411.8008,385.51,4393.8240000000005,0.0,130.0,0.0,14.885,144.885,4538.709000000001,0.0
03/24/2015,1503.9999,1055.0087,1181.6221,428.3022,363.51,4532.4429,0.0,130.0,0.0,14.885,144.885,4677.3279,0.0
03/31/2015,1474.946,1126.6813,1252.7262,441.3235,406.19,4701.867,0.0,130.0,0.0,14.885,144.885,4846.752,0.0
04/07/2015,1342.3408,1108.6559,1132.8067,410.3455,350.54,4344.6889,130.0,130.0,14.885,14.885,289.77,4634.4589,0.0
04/14/2015,1464.1667,1099.0351,1249.2496,436.5257,387.97,4636.9471,0.0,130.0,0.0,14.885,144.885,4781.8321000000005,0.0
04/21/2015,1317.5131,1102.0479,1266.4696,422.0505,372.39,4480.4711,0.0,520.0,0.0,59.54,579.54,5060.0111,0.0
04/28/2015,1345.3522,1157.1817,1282.3809,433.3727,393.36,4611.6475,0.0,0.0,0.0,0.0,0.0,4611.6475,0.0
05/05/2015,1468.3334,921.7444,1270.8277,419.1737,385.53,4465.6092,0.0,130.0,0.0,14.885,144.885,4610.4942,0.0
05/12/2015,1469.6655,933.8824,1292.7929,423.231,340.55,4460.1218,0.0,130.0,0.0,14.885,144.885,4605.0068,0.0
05/19/2015,1345.2516,1207.5821,1355.5086,447.5052,437.13,4792.9775,130.0,130.0,14.885,14.885,289.77,5082.7474999999995,0.0
05/26/2015,1466.9509,1214.4188,1275.9465,453.1127,375.51,4785.9389,0.0,130.0,0.0,14.885,144.885,4930.8239,0.0
06/02/2015,1482.5768,1259.3794,1333.5346,466.6437,444.72,4986.8545,0.0,130.0,0.0,14.885,144.885,5131.739500000001,0.0
06/09/2015,1500.0578,1178.3602,1366.1686,463.1052,485.58,4993.2718,100.0,0.0,11.45,0.0,111.45,5104.7218,0.0
06/16/2015,1582.9807,1279.0261,1231.493,468.7057,379.41,4941.6155,0.0,0.0,0.0,0.0,0.0,4941.6155,0.0
06/23/2015,1559.2317,1294.5509,1358.5053,482.307,397.82,5092.4149,0.0,0.0,0.0,0.0,0.0,5092.4149,0.0
06/30/2015,1535.2736,1212.4171,1204.3368,452.5071,387.25,4791.7846,0.0,0.0,0.0,0.0,0.0,4791.7846,0.0
07/07/2015,1523.9725,1095.3408,1208.2478,438.2557,312.7,4578.516799999999,0.0,0.0,0.0,0.0,0.0,4578.516799999999,0.0
07/14/2015,1510.3333,1050.337,1293.3115,441.2809,369.29,4664.552699999999,0.0,0.0,0.0,0.0,0.0,4664.552699999999,0.0
07/21/2015,1453.5142,1052.0334,1304.8432,436.2897,400.31,4646.990500000001,390.0,0.0,44.655,0.0,434.655,5081.6455000000005,0.0
07/28/2015,1475.9334,1040.9184,1272.9432,433.9315,357.49,4581.2164999999995,260.0,0.0,29.77,0.0,289.77,4870.986499999999,0.0
08/04/2015,1510.6667,1068.215,1244.5362,437.7813,418.75,4679.9492,0.0,0.0,0.0,0.0,0.0,4679.9492,0.0
08/11/2015,1548.5,1087.2648,1258.67,445.9128,393.27,4733.6176,100.0,0.0,11.45,0.0,111.45,4845.067599999999,0.0
