week_ending_date,Manager_usd,InShop_usd,Driver_usd,Tip Credit_usd,TAX_usd,DMR_usd,Manager_prcnt_as_dec,InShop_prcnt_as_dec,Driver_prcnt_as_dec,Tip Credit_prcnt_as_dec,TAX_prcnt_as_dec,DMR_prcnt_as_dec,PenaltyPay_usd,PenaltyPay_prcnt_as_dec
01/06/2015,1500.5942,1186.662,1070.1948,0,430.2281395,326.69,0.1303215670608057,0.10305760971987617,0.09294282451333313,0,0.03736386914816472,0.02837192942841883,0,0
01/13/2015,1475.1327,1285.5588,1036.8972,0,434.82390614999997,347.14,0.134494719163819,0.11721038369942999,0.09453874740608101,0,0.039644920855838275,0.031650370716158706,0,0
01/20/2015,1472.7929,1201.7037,1110.825,0,433.41932319999995,363.16,0.11207446047545123,0.091445507259611,0.08452995160259337,0,0.03298171576416156,0.02763522357166773,0,0
01/27/2015,1394.21,1257.5801999999999,1103.1123,0,429.93633624999995,332.53,0.11556416492186089,0.10423910718992604,0.09143547368368703,0,0.03563683639358176,0.027562958063323602,0,0
02/03/2015,1470.0216,1130.3251,1244.4888999999998,0,440.2336762,328.0,0.11590789636567064,0.08912359148349677,0.09812515030352441,0,0.03471143506848321,0.02586206216829737,0,0
02/10/2015,1462.5,1189.2299999999998,1246.8918,0,446.3921961,349.54,0.10484825500242674,0.08525722413438355,0.08939106284228028,0,0.03200235405660587,0.025058912173366324,0,0
02/17/2015,1473.4834,1035.5262,1162.3985,0,420.37622745,329.9,0.10899714836280519,0.07660038983470861,0.0859854422256825,0,0.031096251258455974,0.024403504813755913,0,0
02/24/2015,1472.7062,1084.2815,1203.8973,0,430.6213324999999,379.94,0.11071763550768113,0.08151597644168386,0.09050865844802,0,0.03237398996050057,0.028563781720202144,0,0
03/03/2015,1407.0304,977.6183999999998,1192.9246,0,409.6321543,371.18,0.10843864062345862,0.07534422166321396,0.09193768804873237,0,0.03157000301340387,0.028606528065502613,0,0
03/10/2015,1465.8334,944.2953000000001,1240.3498999999997,0,417.97979970000006,356.04,0.11589594745031563,0.07466059817328494,0.09806812072258976,0,0.0330475242966388,0.028150261230376096,0,0
