week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Beverage 4316,Catering 4320,Operating Supplies 5220,Fuel Surcharge,Discounts,Delivery Charges,Tax,Invoice Totals
01/06/2015,010215 (1673529),01/03/2015,0,Local SuperMarket,0,0.0,21.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,21.98
01/06/2015,010215 (1673542),01/02/2015,0,Local SuperMarket,0,0.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,5.38
01/06/2015,606457782 (1673613),01/01/2015,0,Sysco Food Services,0,591.09,2320.71,467.09,224.65,172.18,68.24,43.17,3.5,0,0,3.57,3894.2
01/13/2015,606540676 (1682992),01/08/2015,0,Sysco Food Services,0,475.57,1659.22,344.68,141.81,186.5,0.0,54.7,3.5,0,0,4.52,2870.5
01/20/2015,011515 (1695123),01/15/2015,0,Local SuperMarket,0,0.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.38
01/20/2015,606628324 (1697240),01/15/2015,0,Sysco Food Services,0,438.71,1663.24,357.44,152.19,165.48,0.0,109.35,3.5,0,0,17.58,2907.49
01/27/2015,011815 (1699046),01/21/2015,0,Local SuperMarket,0,0.0,10.99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,10.99
01/27/2015,606717155 (1705945),01/22/2015,0,Sysco Food Services,0,475.57,1883.2,400.41,215.94,264.68,0.0,70.52,3.5,0,0,5.83,3319.65
02/03/2015,012915 (1713576),01/29/2015,0,Local SuperMarket,0,0.0,21.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,21.98
02/03/2015,606807553 (1717692),01/29/2015,0,Sysco Food Services,0,438.71,1911.76,426.36,210.04,153.65,0.0,101.3,3.5,0,0,14.95,3260.27
02/10/2015,606902636 (1729138),02/05/2015,0,Sysco Food Services,0,457.14,2022.79,222.45,76.0,134.08,0.0,58.56,1.5,0,0,7.94,2980.46
02/10/2015,606917082 (1729176),02/06/2015,0,Sysco Food Services,0,0.0,0.0,179.78,0.0,0.0,0.0,0.0,51.5,0,0,0.0,231.28
02/17/2015,606997443 (1740689),02/12/2015,0,Sysco Food Services,0,554.23,1985.2,580.73,337.22,248.88,44.36,58.56,1.5,0,0,11.71,3822.39
02/24/2015,607087865 (1745619),02/19/2015,0,Sysco Food Services,0,494.0,1865.51,493.26,99.35,171.75,40.0,70.09,1.5,0,0,7.46,3242.92
03/03/2015,607184523 (1765803),02/26/2015,0,Sysco Food Services,0,494.0,1639.89,415.4,189.28,301.83,0.0,58.56,1.5,0,0,4.84,3105.3
03/10/2015,607274346 (1773782),03/05/2015,0,Sysco Food Services,0,475.57,2016.45,464.58,160.15,116.5,0.0,58.56,1.0,0,0,11.78,3304.59
03/17/2015,607365052 (1789375),03/12/2015,0,Sysco Food Services,0,498.94,1774.09,527.72,221.52,135.43,44.36,58.56,1.0,0,0,4.84,3266.46
03/24/2015,607458411 (1794405),03/19/2015,0,Sysco Food Services,0,433.77,1836.85,401.77,174.28,234.13,0.0,81.84,1.0,0,0,8.42,3172.06
03/31/2015,607550269 (1803865),03/26/2015,0,Sysco Food Services,0,567.72,1950.83,553.57,135.82,217.05,0.0,85.48,1.0,0,0,8.71,3520.18
03/31/2015,Transfer OUT - 130603,03/25/2015,03/25/2015,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,0.0,-56.0256,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-56.0256
04/07/2015,607642299 (1822924),04/02/2015,0,Sysco Food Services,0,554.23,2110.01,620.69,251.14,240.83,0.0,31.21,1.5,0,0,9.52,3819.13
04/07/2015,Transfer IN - 132200,04/07/2015,04/07/2015,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,9.63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,9.63
04/14/2015,607734533 (1827551),04/09/2015,0,Sysco Food Services,0,554.23,2342.82,441.53,141.81,267.63,66.01,85.91,1.5,0,0,7.1,3908.54
04/21/2015,607826187 (1841188),04/16/2015,0,Sysco Food Services,0,512.43,2090.88,424.65,111.4,242.18,0.0,31.21,1.5,0,0,2.58,3416.83
04/28/2015,607918623 (1857829),04/23/2015,0,Sysco Food Services,0,512.43,1964.24,498.7,257.96,251.5,40.0,85.91,1.5,0,0,14.04,3626.28
04/28/2015,607936124 (1861395),04/24/2015,0,Sysco Food Services,0,0.0,0.0,0.0,66.53,0.0,0.0,0.0,1.5,0,0,0.0,68.03
05/05/2015,608008411 (1873584),04/30/2015,0,Sysco Food Services,0,489.06,1918.1,477.6,77.88,104.88,0.0,101.3,1.5,0,0,10.02,3180.34
05/05/2015,Transfer OUT - 135258,04/29/2015,04/29/2015,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,-19.044,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-19.044
05/12/2015,608100916 (1886709),05/07/2015,0,Sysco Food Services,0,591.09,2205.05,593.69,204.3,313.88,40.0,74.38,1.5,0,0,7.8,4031.69
05/19/2015,608191703 (1898344),05/14/2015,0,Sysco Food Services,0,567.72,2066.8,547.43,222.56,142.65,0.0,58.56,1.5,0,0,7.45,3614.67
05/26/2015,608281399 (1905496),05/21/2015,0,Sysco Food Services,0,567.72,2074.34,432.73,272.51,171.23,0.0,73.95,1.5,0,0,13.05,3607.03
06/02/2015,608362152 (1919842),05/28/2015,0,Sysco Food Services,0,530.86,2024.0,449.71,145.27,338.58,42.79,43.17,1.5,0,0,3.57,3579.45
06/09/2015,608450349 (1932299),06/04/2015,0,Sysco Food Services,0,586.15,2007.41,656.5,140.06,119.3,40.0,121.31,1.5,0,0,11.54,3683.77
06/16/2015,608537395 (1937851),06/11/2015,0,Sysco Food Services,0,586.15,2216.22,546.42,261.45,269.93,40.0,73.95,1.5,0,0,13.02,4008.64
