item,week_ending,category,units_of_measure,beginning_units,unit_purchases_1,unit_purchases_2,unit_purchases_3,unit_purchases_4,total_purchased,on_hand_counts,ending_units,unit_cost,ending_value_usd,usage_units,Unnamed: 13
French Bread 32 ct,01/05/2016,Bread 4311,ea,690,960.0,0,0,0,960.0,0,634,0.4453,282.3202,1016,0.0
Mini Loaf,01/05/2016,Bread 4311,ea,0,0.0,0,0,0,0.0,0,0,0.5564,0,0,0.0
Wheat,01/05/2016,Bread 4311,ea,22,64.0,0,0,0,64.0,0,37,1.4606000000000001,54.0422,49,0.0
Equal Sugar Substitute,01/05/2016,Food 4312,Case 2000,0,0.0,0,0,0,0.0,0,0,26.94,0,0,0.0
Avo Fresco,01/05/2016,Food 4312,Case,0,0.0,0,0,0,0.0,0,0,1,0,0,0.0
Capicola,01/05/2016,Food 4312,lb,28.25,37.2,0,0,0,37.2,0,34,3.035,103.19,31.450000000000003,0.0
Salami,01/05/2016,Food 4312,lb,25,35.15,0,0,0,35.15,0,29.5,2.617,77.2015,30.65,0.0
Ham,01/05/2016,Food 4312,lb,99.75,128.5,0,0,0,128.5,0,121.5,2.123,257.9445,106.75,0.0
Turkey,01/05/2016,Food 4312,lb,112.75,144.15,0,0,0,144.15,0,119.25,3.453000419287212,411.7703,137.64999999999998,0.0
Beef,01/05/2016,Food 4312,lb,63.25,94.9,0,0,0,94.9,0,99.5,4.8260000000000005,480.18700000000007,58.650000000000006,0.0
Bacon,01/05/2016,Food 4312,ea,1386,600.0,0,0,0,600.0,0,1036,0.2249,232.9964,950,0.0
Cheese,01/05/2016,Food 4312,lb,92.75,71.4,0,0,0,71.4,0,58.5,2.3640000000000003,138.294,105.65,0.0
Mayonnaise,01/05/2016,Food 4312,gal mayo,53,8.0,0,0,0,8.0,0,50.75,8.160100492610837,414.1251,10.25,0.0
Oil,01/05/2016,Food 4312,gal oil,12.800000190734863,0.0,0,0,0,0.0,0,11.600000381469727,8.416103171509606,97.6268,1.1999998092651367,0.0
Vinegar,01/05/2016,Food 4312,gal vinegar,9.800000190734863,0.0,0,0,0,0.0,0,9.199999809265137,3.8878044284282445,35.7678,0.6000003814697266,0.0
Avocado,01/05/2016,Food 4312,avo can,14.899999618530273,12.0,0,0,0,12.0,0,17.09999990463257,3.210000017902307,54.891,9.799999713897705,0.0
Peppers Cherry,01/05/2016,Food 4312,Gal Peppers,28.5,0.0,0,0,0,0.0,0,25.100000381469727,7.452800683545107,187.0653,3.3999996185302734,0.0
Mustard Dijon,01/05/2016,Food 4312,jar dijon,17,0.0,0,0,0,0.0,0,14.899999618530273,5.241798791918628,78.1028,2.1000003814697266,0.0
Soy Sauce,01/05/2016,Food 4312,gal soy,4.5,0.0,0,0,0,0.0,0,4.300000190734863,9.340092608957839,40.1624,0.19999980926513672,0.0
Tuna,01/05/2016,Food 4312,can tuna,0,0.0,0,0,0,0.0,0,0,7.9533,0,0,0.0
Tuna Chunk - pouch,01/05/2016,Food 4312,Pouch tuna (48oz),5.199999809265137,6.0,0,0,0,6.0,0,6.099999904632568,7.953295206309071,48.5151,5.099999904632568,0.0
Pam Spray,01/05/2016,Food 4312,ea,4,0.0,0,0,0,0.0,0,4,2.4939,9.9756,0,0.0
Oregano,01/05/2016,Food 4312,cont oregano,3.049999952316284,0.0,0,0,0,0.0,0,3.049999952316284,20.59659048594163,62.8196,0,0.0
Basil,01/05/2016,Food 4312,cont basil,3.049999952316284,0.0,0,0,0,0.0,0,3.049999952316284,21.818787226360936,66.5473,0,0.0
Sugar,01/05/2016,Food 4312,lb,27,25.0,0,0,0,25.0,0,35,0.5723,20.0305,17,0.0
Mayo Packets,01/05/2016,Food 4312,Box 204,2.200000047683716,0.0,0,0,0,0.0,0,1.75,17.79,31.1325,0.4500000476837158,0.0
Mustard Packets,01/05/2016,Food 4312,Box 500,1.75,0.0,0,0,0,0.0,0,1.5,5.88,8.82,0.25,0.0
Sweet n Low Packets,01/05/2016,Food 4312,Case  3000,0.2680000039935112,0.0,0,0,0,0.0,0,0.20100000798702242,23.232337385287565,4.6697,0.06699999600648879,0.0
Pickles,01/05/2016,Sides 4313,ea,111,72.0,0,0,0,72.0,0,79,0.3481,27.4999,104,0.0
Chip JJ Reg ,01/05/2016,Sides 4313,ea,198,120.0,0,0,0,120.0,0,193,0.36419999999999997,70.2906,125,0.0
Chip JJ BBQ ,01/05/2016,Sides 4313,ea,230,300.0,0,0,0,300.0,0,295,0.36419999999999997,107.439,235,0.0
Chip JJ Jalapeno ,01/05/2016,Sides 4313,ea,156,300.0,0,0,0,300.0,0,230,0.3642,83.766,226,0.0
Chip JJ S&V ,01/05/2016,Sides 4313,ea,182,180.0,0,0,0,180.0,0,213,0.3642,77.5746,149,0.0
Chip JJ Skinny ,01/05/2016,Sides 4313,ea,86,60.0,0,0,0,60.0,0,67,0.42969999999999997,28.7899,79,0.0
Cookie Oatmeal Raisin,01/05/2016,Sides 4313,ea,127,0.0,0,0,0,0.0,0,98,0.46340000000000003,45.4132,29,0.0
Cookie JJ Triple Choc Chip,01/05/2016,Sides 4313,ea,142,112.0,0,0,0,112.0,0,136,0.5529000000000001,75.1944,118,0.0
Sysco Cup Foam Tall 12 oz,01/05/2016,Paper 4314,Case 1000,0,0.0,0,0,0,0.0,0,0,20,0,0,0.0
Cup Plas 12oz Trans Soft - Paper Cat,01/05/2016,Paper 4314,ea,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
CUP PLAS TRANS 12 OZ - Paper Cat,01/05/2016,Paper 4314,ea,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Napkins,01/05/2016,Paper 4314,Pack 567,0,0.0,0,0,0,0.0,0,0,3.05,0,0,0.0
Napkins - Case 24 / Pack 284,01/05/2016,Paper 4314,Pack 284,19.25,0.0,0,0,0,0.0,0,12.5,1.412104,17.6513,6.75,0.0
Cup 22oz JJ,01/05/2016,Paper 4314,ea,1185,0.0,0,0,0,0.0,0,656,0.0359,23.5504,529,0.0
Lid 22oz JJ,01/05/2016,Paper 4314,ea,479,1000.0,0,0,0,1000.0,0,1031,0.010700000000000001,11.0317,448,0.0
Cup 30oz JJ,01/05/2016,Paper 4314,ea,318,750.0,0,0,0,750.0,0,857,0.059800000000000006,51.2486,211,0.0
Lid 30oz JJ,01/05/2016,Paper 4314,ea,1440,0.0,0,0,0,0.0,0,1133,0.0182,20.6206,307,0.0
Bags 8# JJ,01/05/2016,Paper 4314,Box 1000,1.100000023841858,0.0,0,0,0,0.0,0,0.5,35,17.5,0.6000000238418579,0.0
Wrap Sandwich,01/05/2016,Paper 4314,Box 1000,3.4000000953674316,0.0,0,0,0,0.0,0,1.25,19.57,24.4625,2.1500000953674316,0.0
8X10 Port Pap.,01/05/2016,Paper 4314,Box 500,12,12.0,0,0,0,12.0,0,15.5,2.6058,40.3899,8.5,0.0
Straws,01/05/2016,Paper 4314,Box 300,15.75,0.0,0,0,0,0.0,0,13.5,1.6611629629629598,22.4257,2.2499999999999996,0.0
Pan Liners,01/05/2016,Paper 4314,Box 1000,0.25,1.0,0,0,0,1.0,0,1.2000000476837158,29.563998825232233,35.4768,0.04999995231628418,0.0
Mylar,01/05/2016,Paper 4314,roll 5280,1.25,0.0,0,0,0,0.0,0,0.8999999761581421,86.69244674101,78.0232,0.3500000238418579,0.0
Cucumber,01/05/2016,Produce 4315,ea,0,0.0,0,0,0,0.0,0,0,0.6804,0,0,0.0
Iceburg Head ,01/05/2016,Produce 4315,24 Count,0,0.0,0,0,0,0.0,0,0,22.75,0,0,0.0
Lettuce,01/05/2016,Produce 4315,12 Packs,0,0.0,0,0,0,0.0,0,0,2.27,0,0,0.0
Roma Tomatoes,01/05/2016,Produce 4315,lb,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Yellow Onions,01/05/2016,Produce 4315,lb,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Lettuce,01/05/2016,Produce 4315,Head Let,34,144.0,0,0,0,144.0,0,36,1.7479,62.9244,142,0.0
Tomatoes,01/05/2016,Produce 4315,lb,35,150.0,0,0,0,150.0,0,48,2.1092,101.2416,137,0.0
Onions,01/05/2016,Produce 4315,lb,40,0.0,0,0,0,0.0,0,5,0.5574,2.787,35,0.0
