week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Produce 4315,Discounts,Delivery Charges,Invoice Totals
01/05/2016,01990189 (2305111),12/30/2015,0,Hardie's,0,339.82,0,0,339.82
01/05/2016,010116 (2305154),01/01/2016,0,Local SuperMarket,0,4.44,0,0,4.44
01/05/2016,01994192 (2305614),01/02/2016,0,Hardie's,0,298.29,0,0,298.29
01/12/2016,01999499 (2317559),01/06/2016,0,Hardie's,0,284.19,0,0,284.19
01/12/2016,02005266 (2317562),01/09/2016,0,Hardie's,0,302.41,0,0,302.41
01/12/2016,010816 (2317565),01/08/2016,0,Local SuperMarket,0,4.77,0,0,4.77
01/12/2016,02009943 (2326134),01/12/2016,0,Hardie's,0,287.67,0,0,287.67
01/12/2016,010816 (2326159),01/08/2016,0,Local SuperMarket,0,4.77,0,0,4.77
01/12/2016,011016 (2326166),01/10/2016,0,Local SuperMarket,0,3.96,0,0,3.96
01/19/2016,02018512 (2332918),01/16/2016,0,Hardie's,0,329.08,0,0,329.08
01/19/2016,011416 (2332935),01/16/2016,0,Local SuperMarket,0,5.67,0,0,5.67
01/19/2016,011616 (2332943),01/16/2016,0,Local SuperMarket,0,4.44,0,0,4.44
01/19/2016,02014860 (2332950),01/16/2016,0,Hardie's,0,329.79,0,0,329.79
01/19/2016,02022711 (2339592),01/19/2016,0,Hardie's,0,249.84,0,0,249.84
01/26/2016,02031180 (2344139),01/23/2016,0,Hardie's,0,365.73,0,0,365.73
01/26/2016,012216 (2344457),01/22/2016,0,Local SuperMarket,0,5.67,0,0,5.67
01/26/2016,02035297 (2353068),01/26/2016,0,Hardie's,0,304.54,0,0,304.54
02/02/2016,02041544 (2357555),01/29/2016,0,Hardie's,0,294.18,0,0,294.18
02/02/2016,013016 (2358044),01/30/2016,0,Local SuperMarket,0,8.88,0,0,8.88
02/09/2016,020316 (2366601),02/03/2016,0,Local SuperMarket,0,1.38,0,0,1.38
02/09/2016,02055964 (2369734),02/06/2016,0,Hardie's,0,210.12,0,0,210.12
02/09/2016,020816 (2373439),02/08/2016,0,Local SuperMarket,0,9.98,0,0,9.98
02/09/2016,02060463 (2373442),02/09/2016,0,Hardie's,0,220.86,0,0,220.86
02/09/2016,020616 (2375407),02/06/2016,0,Local SuperMarket,0,6.59,0,0,6.59
02/16/2016,02066733 (2388295),02/12/2016,0,Hardie's,0,181.11,0,0,181.11
02/16/2016,02071085 (2388305),02/15/2016,0,Hardie's,0,229.99,0,0,229.99
02/16/2016,021516 (2392945),02/15/2016,0,Local SuperMarket,0,3.87,0,0,3.87
02/16/2016,021116 (2392946),02/11/2016,0,Local SuperMarket,0,7.56,0,0,7.56
02/23/2016,02085409 (2402669),02/23/2016,0,Hardie's,0,278.67,0,0,278.67
02/23/2016,02079439 (2402673),02/19/2016,0,Hardie's,0,267.01,0,0,267.01
02/23/2016,021916 (2402790),02/19/2016,0,Local SuperMarket,0,6.36,0,0,6.36
02/23/2016,022016 (2402794),02/20/2016,0,Local SuperMarket,0,2.58,0,0,2.58
03/01/2016,02096916 (2414770),02/29/2016,0,Hardie's,0,223.07,0,0,223.07
03/01/2016,02092367 (2414774),02/26/2016,0,Hardie's,0,224.27,0,0,224.27
03/08/2016,02104984 (2423123),03/04/2016,0,Hardie's,0,211.54,0,0,211.54
03/08/2016,02109180 (2426394),03/07/2016,0,Hardie's,0,207.35,0,0,207.35
03/08/2016,030516 (2429625),03/05/2016,0,Local SuperMarket,0,4.77,0,0,4.77
03/08/2016,030716 (2429629),03/07/2016,0,Local SuperMarket,0,3.87,0,0,3.87
03/15/2016,02113397 (2436829),03/09/2016,0,Hardie's,0,193.11,0,0,193.11
03/15/2016,02121229 (2441392),03/14/2016,0,Hardie's,0,269.56,0,0,269.56
03/15/2016,02119198 (2441396),03/12/2016,0,Hardie's,0,207.35,0,0,207.35
03/15/2016,031016 (2443103),03/10/2016,0,Local SuperMarket,0,3.87,0,0,3.87
03/22/2016,02126571 (2451066),03/17/2016,0,Hardie's,0,212.06,0,0,212.06
03/22/2016,02132541 (2452794),03/21/2016,0,Hardie's,0,251.56,0,0,251.56
03/22/2016,031616 (2460053),03/16/2016,0,Local SuperMarket,0,4.77,0,0,4.77
03/22/2016,031916 (2460056),03/19/2016,0,Local SuperMarket,0,4.77,0,0,4.77
03/22/2016,032116 (2460062),03/21/2016,0,Local SuperMarket,0,5.16,0,0,5.16
03/22/2016,Transfer IN - 184341,03/22/2016,03/22/2016,"1393 - E Beltline Rd, Richardson, TX  ",0,36.0,0,0,36.0
03/29/2016,022416 (2416318),03/24/2016,0,Local SuperMarket,0,6.36,0,0,6.36
03/29/2016,022716 (2416327),03/27/2016,0,Local SuperMarket,0,2.96,0,0,2.96
03/29/2016,02136451 (2467568),03/23/2016,0,Hardie's,0,245.95,0,0,245.95
03/29/2016,02143224 (2467571),03/26/2016,0,Hardie's,0,240.63,0,0,240.63
03/29/2016,032916 (2469337),03/29/2016,0,Local SuperMarket,0,5.97,0,0,5.97
