week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
01/05/2016,0.038555414858182195,0.13619950070009398,0.03064348323857721,0.01268078283985835,0.04574225058733589,0.014648543929341621,0.0014841553583503234,0.2799541315117396,0.2799541315117396,142.62,1556.6667,1115.4084,1092.7185,431.0689,327.35,0.0,4523.212500000001,0.0,0.0,0.0,0.0,0.0,4523.212500000001,120.12,143.92,169.62,0.0,433.65999999999997
01/12/2016,0.03572625929981904,0.13895921695082833,0.028381183363404897,0.011935949200279227,0.04844307658551589,0.014116950632351771,0.0009198045903377871,0.27848244062253685,0.27848244062253685,-3.87,1515.8332,1173.9161,1185.4487,443.7102,359.56,0.0,4678.4682,0.0,0.0,0.0,0.0,0.0,4678.4682,107.08,171.64,1691.35,20.96,1991.03
01/19/2016,0.03716477801054216,0.1278130688816169,0.03132883912704057,0.009749912737083234,0.0422461901836194,0.013321423060300529,0.0011363368479552574,0.262760548848158,0.262760548848158,1.82,1519.6667,1170.1364,1173.1923,442.313,384.65,0.0,4689.9583999999995,0.0,0.0,0.0,0.0,0.0,4689.9583999999995,117.65,145.32,2379.7,0.0,2642.67
01/26/2016,0.03655237986943494,0.12999294333261988,0.03269212863869864,0.011811188998287677,0.049193760702054806,0.016106110873287675,0.0009354398544520554,0.2772839522688357,0.2772839522688357,-0.99,1574.0,854.7847,1168.362,411.8733,417.54,0.0,4426.56,130.0,0.0,14.885,0.0,144.885,4571.445000000001,109.16,138.53,344.31,11.98,603.98
02/02/2016,0.03315416321655947,0.12494029842936734,0.031004625432816766,0.011430685874770594,0.017841711043874907,0.013548718129839153,0.0009230263097653404,0.23284322843699354,0.23284322843699354,-3.88,1572.1819,1026.5306,1120.6309,425.8648,401.17,0.0,4546.3782,0.0,330.0,0.0,37.785,367.78499999999997,4914.1632,109.46,178.1,190.39,11.78,489.72999999999996
02/09/2016,0.0377691511092245,0.13615541963072378,0.032248433809766636,0.01339963704841159,0.039859000145294594,0.017336757252621703,0.000553778941400697,0.27732217793744346,0.27732217793744346,-7.41,1488.5001,1094.0837,1167.9437,429.4354,403.37,0.0,4583.3329,0.0,230.0,0.0,26.335,256.335,4839.6679,93.52,199.35,258.99,0.0,551.86
02/16/2016,0.03402226029242223,0.12972420231628223,0.03176380588761347,0.011292988217040698,0.03320108481056061,0.015177397202537475,0.0006209583422857482,0.2558026970687425,0.2558026970687425,-3.16,1513.0,1109.6165,1133.286,430.0508,416.19,0.0,4602.1433,0.0,0.0,0.0,0.0,0.0,4602.1433,130.33,161.46,27.01,0.0,318.8
02/23/2016,0.03601503332297623,0.13053571355243865,0.03218657307853929,0.011282568435633753,0.03447425801797758,0.01590662585873906,0.0014233612610306636,0.2618241335273353,0.2618241335273353,4.49,1467.5001,922.1329,1167.7635,407.3219,426.7,0.0,4391.4184,100.0,130.0,11.45,14.885,256.335,4647.7534,106.95,166.44,52.82,24.95,351.15999999999997
03/01/2016,0.03507333790820109,0.12706011873596537,0.033758787073063685,0.0127889173492562,0.031882179456244934,0.013985894979228253,0.0,0.25454923550195946,0.25454923550195946,0.0,1518.8333,1112.7225,1120.4531,429.605,382.52,0.0,4564.133900000001,0.0,0.0,0.0,0.0,0.0,4564.133900000001,114.28,160.48,300.06,4.99,579.81
03/08/2016,0.032972857825400256,0.12130687790434043,0.03027854888725909,0.011210305444563811,0.03332407799076697,0.017260201519767017,0.0003364120230186575,0.24668928159511636,0.24668928159511636,4.03,1516.1665,1083.0753,1239.6073,439.5482,407.69,0.0,4686.087299999999,0.0,0.0,0.0,0.0,0.0,4686.087299999999,102.53,201.54,375.24,10.5,689.81
03/15/2016,0.0318039956796983,0.11811204973381717,0.027460276360253697,0.010635014822566737,0.03464530730603296,0.011542422030182175,0.001051934725563743,0.23525100065811463,0.23525100065811463,4.33,1554.0114,1094.1496,1103.5329,429.569,438.64,0.0,4619.902900000001,0.0,0.0,0.0,0.0,0.0,4619.902900000001,143.07,196.58,264.49,21.0,625.14
03/22/2016,0.03100226856942184,0.1173121044587993,0.027709279408781033,0.010916957254680398,0.032123816645333564,0.01451724072527549,0.000893989929092117,0.23447565699138379,0.23447565699138379,6.17,1504.9999,1014.9284,1310.8619,438.6255,488.07,0.0,4757.4857,0.0,0.0,0.0,0.0,0.0,4757.4857,138.83,208.6,198.0,12.0,557.4300000000001
03/29/2016,0.03336004494403263,0.11884029863442924,0.03074532778188675,0.010617673260190976,0.0330077293338973,0.015608930204422097,0.0016040258227333628,0.24378402998159243,0.24378402998159243,3.3,1515.3334,1144.6478,1162.5809,437.6834,419.13,0.0,4679.3755,0.0,130.0,0.0,14.885,144.885,4824.2605,159.08,195.42,299.4,0.0,653.9
04/05/2016,0.03297106610295818,0.12297870843925525,0.029434733088597315,0.009600884454140377,0.03360674535179868,0.012519340784956009,0.0014408375007609827,0.24255231572246677,0.24255231572246677,5.4,1517.1667,1159.619,1114.3504,434.0851,421.49,0.0,4646.7112,0.0,0.0,0.0,0.0,0.0,4646.7112,138.81,158.35,166.22,11.5,474.88
04/12/2016,0.03743352977541755,0.10965019838454675,0.029743962319604345,0.010594843268607101,0.03253331745581319,0.014715541136289931,0.0011239510702124198,0.23579534341049127,0.23579534341049127,1.38,1521.0,1265.7885,1018.0537,435.6544,337.09,0.0,4577.5866000000005,0.0,0.0,0.0,0.0,0.0,4577.5866000000005,143.22,186.25,584.04,8.5,922.01
04/19/2016,0.03214753473923971,0.11739479950385828,0.03352910079759097,0.011768915084856042,0.034541335407656526,0.009346556073208523,0.0005482354014258631,0.23927647700783602,0.23927647700783602,-0.26,1556.6874,1099.9427,1138.0092,434.4862,371.35,0.0,4600.4755000000005,0.0,0.0,0.0,0.0,0.0,4600.4755000000005,108.61,171.66,199.64,17.75,497.65999999999997
04/26/2016,0.020402689288999104,0.10418998356073751,0.018480334909461122,0.012029690134989703,0.03726036506114713,0.015570406645440535,0.0007859442629656167,0.20871941386374065,0.20871941386374065,2.6,1607.4459,1197.7529,1290.7187,468.9826,394.65,0.0,4959.5500999999995,0.0,0.0,0.0,0.0,0.0,4959.5500999999995,86.92,201.44,617.3,5.25,910.91
05/03/2016,0.027086805752941843,0.1070473477765245,0.0277041429678454,0.010802958450643121,0.027781239808634197,0.014031684862773734,0.00024382085336699798,0.2146980004727299,0.2146980004727299,5.45,1519.8334,1113.1244,1326.3199,453.3373,407.31,0.0,4819.925,0.0,0.0,0.0,0.0,0.0,4819.925,130.67,179.58,222.52,15.75,548.52
05/10/2016,0.03452457580571932,0.11266076327809753,0.03094500043926684,0.010899316688585299,0.032353792884682056,0.012676422637733626,0.005804981621209817,0.23986485335529442,0.23986485335529442,7.06,1519.5,1129.8363,1197.212,440.4298,349.53,0.0,4636.5081,0.0,0.0,0.0,0.0,0.0,4636.5081,114.93,165.65,249.43,15.75,545.76
05/17/2016,0.03070884163649815,0.11408696062694738,0.02975720369217236,0.010512042108836144,0.03727356879318361,0.01668756849916755,-0.0036677188298160964,0.23535846652698916,0.23535846652698916,-5.08,1541.2947,1309.9274,1112.296,453.8228,412.72,0.0,4830.0609,0.0,0.0,0.0,0.0,0.0,4830.0609,140.66,183.19,64.57,0.0,388.42
05/24/2016,0.03214936642491004,0.11409252240797213,0.028235401741065213,0.010858499005079283,0.036509716209686675,0.013298218966056052,0.0005381719859059553,0.2356818967406753,0.2356818967406753,-1.28,1543.2574,1240.8299,1291.6202,466.6685,414.17,0.0,4956.546,0.0,0.0,0.0,0.0,0.0,4956.546,109.89,245.11,16.75,16.75,388.5
05/31/2016,0.03351810903649473,0.11701235479824228,0.030506723215313926,0.010934681269918716,0.035189022075914095,0.012558712718743837,0.0008211160680518985,0.24054071918267958,0.24054071918267958,5.51,1458.0,1153.9348,1287.3726,446.4707,416.86,0.0,4762.638099999999,260.0,0.0,29.77,0.0,289.77,5052.408099999999,77.25,159.42,115.5,0.0,352.16999999999996
06/07/2016,0.03267481909646015,0.11560886083284441,0.029099037595582508,0.011046524261717988,0.03085733911838347,0.013694234989895478,0.0008187318764471723,0.23379954777133122,0.23379954777133122,7.93,1588.8793,1162.5488,1339.9056,468.4577,411.37,0.0,4971.1614,200.0,0.0,22.9,0.0,222.9,5194.0614,98.83,208.75,36.75,26.15,370.47999999999996
06/14/2016,0.03292690896535411,0.11634052001706076,0.03179595608659863,0.010183587790363565,0.03154791275144532,0.0142095862539441,0.0008440151921539805,0.2378484870569204,0.2378484870569204,4.31,1520.8273,1188.5834,1316.0078,460.9104,389.02,0.0,4875.348899999999,0.0,0.0,0.0,0.0,0.0,4875.348899999999,122.47,200.54,475.23,12.45,810.69
06/21/2016,0.03227670722879107,0.11429138211257554,0.030701685173056124,0.01126235408423694,0.033873223252553805,0.01256287639978908,0.0008522259375442885,0.23582045418854683,0.23582045418854683,-3.34,1512.4778,1178.1712,1266.2937,453.0699,410.28,0.0,4820.2926,100.0,0.0,11.45,0.0,111.45,4931.7426,125.49,224.67,11.5,12.5,374.15999999999997
06/28/2016,0.0326781762145014,0.11670889673504867,0.029210690167750613,0.010206928789347225,0.0292228562168698,0.015722088048040934,0.0007615435674819962,0.23451117973904068,0.23451117973904068,-3.54,1438.7695,1122.6254,1292.1179,441.2272,400.58,0.0,4695.320000000001,130.0,0.0,14.885,0.0,144.885,4840.205000000001,122.07,186.78,31.65,16.75,357.25
07/05/2016,0.03550753427418194,0.11557185774415143,0.027980759818739823,0.010021534723301846,0.027693834102019303,0.013889248760601828,0.00015377318293574796,0.23081854260593193,0.23081854260593193,-1.14,1421.0001,1301.2591,1206.241,449.8133,332.95,0.0,4711.2635,0.0,0.0,0.0,0.0,0.0,4711.2635,156.86,221.36,136.5,0.0,514.72
07/12/2016,0.03594423515061275,0.11104346144379193,0.02864432766562675,0.010652855294635465,0.028420812361848905,0.012139988675095267,0.0008995175396583855,0.22774519813126953,0.22774519813126953,-9.52,1527.7367,1287.4861,1157.4494,454.871,422.41,0.0,4849.9532,0.0,0.0,0.0,0.0,0.0,4849.9532,112.15,247.0,776.57,31.5,1167.22
07/19/2016,0.03230296059962564,0.11144586013738922,0.028451121064841274,0.010912053828664201,0.03151943344568808,0.014072934745331153,0.001357223440457178,0.23006158726199674,0.23006158726199674,-10.68,1616.0463,1419.6775,1109.1282,474.5856,410.95,0.0,5030.3876,0.0,0.0,0.0,0.0,0.0,5030.3876,132.16,224.46,742.3,28.25,1127.17
07/26/2016,0.03209191727004744,0.11532468151566302,0.02778187480149662,0.010344104308052219,0.028475857519710313,0.011694010724694507,0.0005974497417742876,0.22630989588143835,0.22630989588143835,2.64,1589.5611,1349.7097,1170.2685,470.5422,415.09,0.0,4995.1715,0.0,0.0,0.0,0.0,0.0,4995.1715,149.01,210.61,600.4,26.25,986.27
08/02/2016,0.03238004402952857,0.11252840945624455,0.028753413207021454,0.010287337070842228,0.027875314988717047,0.015303194437215057,0.0009498681869815895,0.22807758137655051,0.22807758137655051,1.04,1512.8334,1271.7062,1227.3946,459.3665,364.5,0.0,4835.8007,0.0,0.0,0.0,0.0,0.0,4835.8007,137.42,190.49,474.95,15.75,818.6099999999999
08/09/2016,0.03366467344069295,0.110440881726678,0.028864100234994722,0.010233634033414117,0.028379455797823635,0.016307003382109754,0.0008454600171863647,0.2287352086328996,0.2287352086328996,-6.03,1583.5555,1270.3073,1239.9102,468.737,429.02,0.0,4991.530000000001,0.0,0.0,0.0,0.0,0.0,4991.530000000001,152.82,199.65,592.25,0.0,944.72
08/16/2016,0.033998343539501555,0.11440076422238918,0.02843870430667629,0.010422572873977113,0.02994986454291249,0.011769206290435959,0.0007586141390821845,0.22973806991497478,0.22973806991497478,-15.34,1608.4621,1171.4586,1203.7875,456.1346,387.73,0.0,4827.5728,0.0,0.0,0.0,0.0,0.0,4827.5728,98.44,176.92,441.33,6.25,722.94
08/23/2016,0.03390327678294342,0.11303092213795313,0.02981149718790664,0.011002941400656609,0.025618095671064014,0.014629936135808055,0.0003168845381143427,0.2283135538544462,0.2283135538544462,2.92,1558.6667,962.3985,1267.7837,433.8232,401.95,0.0,4624.6221,0.0,0.0,0.0,0.0,0.0,4624.6221,141.04,166.99,205.85,5.25,519.13
08/30/2016,0.03475070567781856,0.11428618446101964,0.03169266520992221,0.010062029951457625,0.02759226084072138,0.01394205762357912,0.002573294337669581,0.23489919810218818,0.23489919810218818,1.9,1531.756,848.0037,1288.893,420.0607,396.35,0.0,4485.0634,0.0,0.0,0.0,0.0,0.0,4485.0634,123.18,220.43,454.45,5.25,803.31
