week_ending_date,Sales Item,Revenue_USD,Quantity Sold,Wed - 1,Wed - 2,Thu - 3,Thu - 4,Fri - 5,Fri - 6,Sat - 7,Sat - 8,Sun - 9,Sun - 10,Mon - 11,Mon - 12,Tue - 13,Tue - 14
01/05/2016,IN-Sub,"3,092.61",639.0,196.60,139.71,401.17,103.78,275.43,157.68,227.53,135.72,323.32,164.66,290.40,217.56,334.31,124.74
01/05/2016,IN-Club,"3,821.73",627.0,355.41,197.68,381.38,199.67,205.66,263.56,323.47,143.76,353.43,231.62,355.43,219.64,371.38,219.64
01/05/2016,IN-Pop,989.19,576.0,78.05,46.14,134.28,33.11,88.19,53.59,61.50,46.63,83.03,46.43,109.52,60.70,103.33,44.69
01/05/2016,IN-Side,829.21,665.0,66.72,36.14,101.47,40.31,58.38,40.31,52.82,27.80,87.12,40.31,94.52,48.65,99.91,34.75
01/05/2016,DEL-Sub,"1,112.72",228.0,184.63,69.85,88.82,23.95,71.85,62.87,99.80,19.96,61.87,38.92,134.73,20.95,180.63,53.89
01/05/2016,DEL-Club,"1,613.43",257.0,285.54,117.83,217.64,19.97,87.86,39.94,111.83,59.90,59.91,83.87,137.78,95.84,233.62,61.90
01/05/2016,DEL-Pop,278.51,157.0,52.01,5.27,30.33,10.94,25.06,7.36,16.21,16.01,11.14,12.43,36.75,13.03,27.05,14.92
01/05/2016,DEL-Side,415.61,312.0,66.72,23.63,51.43,9.73,38.92,5.56,22.24,13.90,13.90,18.07,44.48,22.24,66.72,18.07
01/05/2016,Party Sub,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/05/2016,Day Old Bread,15.00,30.0,0.00,0.50,2.50,0.00,0.00,1.50,0.50,0.00,2.00,1.50,0.50,1.50,0.00,4.50
01/05/2016,Fresh Bread,10.00,5.0,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00
