week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Office Supplies 5230,Smallwares-KEC 5220,Uniforms-KC 5221,Aprons-Floor Mats 5285,Trash Service 5286,Pest Control 5241,Fuel Surcharge,Discounts,Delivery Charges,Tax,Invoice Totals
01/03/2017,122916 (3001070),12/29/2016,0,Sysco Food Services,0,535.23,1604.87,405.67,77.76,0,170.63,0.0,73.26,0,0,0,0,0,0,0.0,0,0,6.04,2873.46
01/10/2017,010517 (3012959),01/05/2017,0,Sysco Food Services,0,469.11,1642.57,328.71,158.87,0,271.8,0.0,60.51,0,0,0,0,0,0,0.0,0,0,4.74,2936.31
01/17/2017,011217 (3025381),01/12/2017,0,Sysco Food Services,0,469.11,1259.8,411.15,144.32,0,175.93,0.0,48.42,0,0,0,0,0,0,0.0,0,0,7.94,2516.67
01/24/2017,011917 (3039581),01/19/2017,0,Sysco Food Services,0,520.98,1587.57,438.43,89.98,0,258.9,0.0,42.72,0,0,0,0,0,0,0.0,0,0,3.52,2942.1
01/31/2017,012617 (3051583),01/26/2017,0,Sysco Food Services,0,402.99,1827.41,323.25,159.38,0,182.13,0.0,61.66,0,0,0,0,0,0,0.0,0,0,9.8,2966.62
01/31/2017,013117 (3061295),01/31/2017,0,Sysco Food Services,0,0.0,0.0,0.0,117.42,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,117.42
02/07/2017,020217 (3065135),02/02/2017,0,Sysco Food Services,0,449.73,912.0,459.08,74.08,0,326.98,0.0,124.33,0,0,0,0,0,0,10.0,0,0,10.29,2366.49
02/14/2017,020917 (3078562),02/09/2017,0,Sysco Food Services,0,526.11,2111.13,609.08,205.73,0,87.35,148.5,48.42,0,0,0,0,0,0,0.0,0,0,3.99,3740.31
02/14/2017,Transfer IN - 239214,02/08/2017,02/08/2017,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,17.79,31.5616,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,49.3516
02/21/2017,021617 (3092633),02/16/2017,0,Sysco Food Services,0,483.36,1769.0,376.82,122.28,0,254.58,37.57,35.18,0,0,0,0,0,0,0.0,0,0,2.9,3081.69
02/28/2017,022317 (3106545),02/23/2017,0,Sysco Food Services,0,449.73,1626.05,401.3,205.73,0,214.48,0.0,72.32,0,0,0,0,0,0,0.0,0,0,5.96,2975.57
03/07/2017,030217 (3122187),03/02/2017,0,Sysco Food Services,0,454.86,1804.18,445.53,76.14,0,233.25,0.0,35.18,0,0,0,0,0,0,0.0,0,0,2.9,3052.04
03/14/2017,030917 (3134673),03/09/2017,0,Sysco Food Services,0,492.48,1346.02,566.19,236.59,0,175.93,0.0,120.96,0,0,0,0,0,0,0.0,0,0,14.74,2952.91
03/21/2017,031617 (3149857),03/16/2017,0,Sysco Food Services,0,497.61,1944.82,439.92,114.19,0,373.78,0.0,55.56,0,0,0,0,0,0,0.0,0,0,4.58,3430.46
03/28/2017,032317 (3162479),03/23/2017,0,Sysco Food Services,0,549.48,1856.07,439.92,199.22,0,80.65,0.0,98.8,0,0,0,0,0,0,0.0,0,0,14.7,3238.84
03/28/2017,Transfer IN - 248833,03/28/2017,03/28/2017,"1367 - Preston Rd, Dallas, TX ",0,0.0,66.6167,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,66.6167
04/04/2017,033017 (3176551),03/30/2017,0,Sysco Food Services,0,540.36,2004.62,566.19,158.3,0,326.98,66.01,35.18,0,0,0,0,0,0,0.0,0,0,9.84,3707.48
04/11/2017,040617 (3189037),04/06/2017,0,Sysco Food Services,0,478.23,2233.32,477.61,187.81,0,187.33,0.0,87.19,0,0,0,0,0,0,0.0,0,0,7.19,3658.68
04/18/2017,041317 (3203809),04/13/2017,0,Sysco Food Services,0,535.41,1897.54,491.3,140.2,0,296.63,15.6,81.39,0,0,0,0,0,0,0.0,0,0,6.71,3464.78
04/25/2017,042017 (3217788),04/20/2017,0,Sysco Food Services,0,544.44,1569.23,445.53,169.11,0,238.45,0.0,48.42,0,0,0,0,0,0,0.0,0,0,3.99,3019.17
05/02/2017,042717 (3235614),04/27/2017,0,Sysco Food Services,0,883.32,3277.68,653.02,366.39,0,447.73,42.79,96.47,0,0,0,0,0,0,0.0,0,0,13.26,5780.66
05/09/2017,050417 (3249638),05/04/2017,0,Sysco Food Services,0,600.92,1578.59,459.74,35.0,0,68.08,0.0,56.08,0,0,0,0,0,0,0.0,0,0,4.63,2803.04
05/16/2017,051117 (3265673),05/11/2017,0,Sysco Food Services,0,549.53,1917.01,430.42,151.15,0,227.05,0.0,57.4,0,0,0,0,0,0,0.0,0,0,4.73,3337.29
05/23/2017,051817 (3280069),05/18/2017,0,Sysco Food Services,0,558.56,1923.77,349.4,218.37,0,360.38,0.0,83.7,0,0,0,0,0,0,0.0,0,0,6.9,3501.08
05/30/2017,052517 (3294031),05/25/2017,0,Sysco Food Services,0,526.38,2037.11,536.05,180.21,0,36.23,42.79,77.78,0,0,0,0,0,0,0.0,0,0,11.18,3447.73
06/06/2017,060117 (3306682),06/01/2017,0,Sysco Food Services,0,464.81,1654.8,414.99,160.86,0,424.9,0.0,28.04,0,0,0,0,0,0,0.0,0,0,2.31,3150.71
06/13/2017,060817 (3320797),06/08/2017,0,Sysco Food Services,0,558.56,2058.61,554.45,170.54,0,214.48,0.0,77.78,0,0,0,0,0,0,0.0,0,0,6.41,3640.83
06/20/2017,061517 (3335034),06/15/2017,0,Sysco Food Services,0,507.17,1811.32,467.79,169.91,0,262.78,23.0,119.48,0,0,0,0,0,0,0.0,0,0,9.85,3371.3
06/20/2017,Transfer IN - 265356,06/14/2017,06/14/2017,"1367 - Preston Rd, Dallas, TX ",0,0.0,0.0,19.818,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,19.818
06/27/2017, (3348900),06/22/2017,0,Sysco Food Services,0,558.56,1712.08,488.86,184.24,0,295.13,0.0,35.18,0,0,0,0,0,0,0.0,0,0,7.7468,3281.7968
07/04/2017,062917 (3361905),06/29/2017,0,Sysco Food Services,0,521.29,1982.47,451.66,89.98,0,166.0,42.79,41.28,0,0,0,0,0,0,0.0,0,0,3.4,3298.87
07/11/2017,070617 (3376121),07/06/2017,0,Sysco Food Services,0,544.44,1649.53,419.91,185.76,0,288.43,0.0,55.56,0,0,0,0,0,0,0.0,0,0,4.59,3148.22
07/18/2017,071317 (3388927),07/13/2017,0,Sysco Food Services,0,493.05,1921.76,461.05,144.13,0,328.53,0.0,61.66,0,0,0,0,0,0,0.0,0,0,11.69,3421.87
07/25/2017,072017 (3405347),07/20/2017,0,Sysco Food Services,0,572.68,1744.6,592.11,171.42,0,256.58,0.0,63.1,0,0,0,0,0,0,0.0,0,0,5.21,3405.7
08/01/2017,072717 (3420061),07/27/2017,0,Sysco Food Services,0,558.56,2019.84,527.04,264.86,0,197.85,0.0,70.58,0,0,0,0,0,0,0.0,0,0,9.77,3648.5
08/08/2017,080317 (3431037),08/03/2017,0,Sysco Food Services,0,572.68,1841.8,458.04,54.15,0,328.53,23.22,20.38,0,0,0,0,0,0,0.0,0,0,1.65,3300.45
08/15/2017,081117 (3447037),08/11/2017,0,Sysco Food Services,0,521.29,2106.28,547.11,216.29,0,233.75,77.84,55.56,0,0,0,0,0,0,0.0,0,0,4.59,3762.71
08/22/2017,081717 (3460916),08/17/2017,0,Sysco Food Services,0,464.81,1719.78,390.27,172.81,0,187.28,15.6,35.18,0,0,0,0,0,0,0.0,0,0,8.65,2994.38
08/29/2017,082417 (3474300),08/24/2017,0,Sysco Food Services,0,478.93,1752.04,515.55,204.91,0,289.98,0.0,167.08,0,0,0,0,0,0,0.0,0,0,13.81,3422.3
09/05/2017,090117 (3489530),09/01/2017,0,Sysco Food Services,0,530.32,1732.73,455.34,65.53,0,162.95,0.0,35.18,0,0,0,0,0,0,0.0,0,0,10.03,2992.08
09/12/2017,090717 (3505596),09/07/2017,0,Sysco Food Services,0,450.69,1684.58,418.78,201.37,0,365.43,0.0,67.98,0,0,0,0,0,0,0.0,0,0,2.5798,3191.4098
09/19/2017,091417 (3515935),09/14/2017,0,Sysco Food Services,0,521.29,1569.11,384.39,137.81,0,133.83,42.79,71.54,0,0,0,0,0,0,0.0,0,0,9.9,2870.66
09/26/2017,092117 (3529267),09/21/2017,0,Sysco Food Services,0,417.36,1725.94,311.94,150.01,0,194.7,0.0,82.78,0,0,0,0,0,0,0.0,0,0,9.02,2891.75
10/03/2017,092817 (3542598),09/28/2017,0,Sysco Food Services,0,478.93,1808.17,541.23,120.43,0,253.03,0.0,35.18,0,0,0,0,0,0,0.0,0,0,2.91,3239.88
10/10/2017,100517 (3558029),10/05/2017,0,Sysco Food Services,0,445.6,1475.47,338.64,174.46,0,216.03,0.0,123.54,0,0,0,0,0,0,0.0,0,0,10.21,2783.95
10/17/2017,101217 (3578301),10/12/2017,0,Sysco Food Services,0,422.45,1695.82,403.71,175.38,0,193.15,53.17,20.38,0,0,0,0,0,0,0.0,0,0,1.68,2965.74
10/24/2017,101917 (3586200),10/19/2017,0,Sysco Food Services,0,473.84,1793.3,429.39,184.01,0,328.53,0.0,133.46,0,0,0,0,0,0,0.0,0,0,15.1,3357.63
10/31/2017,102617 (3599960),10/26/2017,0,Sysco Food Services,0,464.81,2001.42,430.41,122.73,0,175.93,42.79,93.08,0,0,0,0,0,0,0.0,0,0,7.7,3338.87
11/07/2017,110217 (3615569),11/02/2017,0,Sysco Food Services,0,473.84,1210.42,392.97,114.05,0,188.83,0.0,78.93,0,0,0,0,0,0,0.0,0,0,5.4821,2464.5221
11/14/2017,110917 (3629894),11/10/2017,0,Sysco Food Services,0,473.84,1798.76,510.84,124.24,0,191.65,0.0,40.76,0,0,0,0,0,0,0.0,0,0,2.5798,3142.6698
11/21/2017,111617 (3643226),11/16/2017,0,Sysco Food Services,0,450.69,1989.9,450.48,187.23,0,330.53,60.57,78.93,0,0,0,0,0,0,0.5,0,0,8.36,3557.19
11/28/2017,112417 (3656297),11/24/2017,0,Sysco Food Services,0,408.33,1257.61,392.22,217.0,0,85.35,0.0,63.06,0,0,0,0,0,0,10.0,0,0,9.33,2442.9
12/05/2017,113017 (3667660),11/30/2017,0,Sysco Food Services,0,394.21,1489.26,351.12,34.26,0,214.48,0.0,64.13,0,0,0,0,0,0,0.5,0,0,5.28,2553.24
12/05/2017,Transfer IN - 297445,12/01/2017,12/01/2017,"1393 - E Beltline Rd, Richardson, TX  ",0,3.9717,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,3.9717
12/12/2017,120717 (3683457),12/07/2017,0,Sysco Food Services,0,487.96,1573.17,365.28,136.18,0,177.43,0.0,52.32,0,0,0,0,0,0,1.5,0,0,4.34,2798.18
12/19/2017,121417 (3694982),12/14/2017,0,Sysco Food Services,0,436.57,1716.47,423.78,36.58,0,238.45,42.79,78.95,0,0,0,0,0,0,1.5,0,0,6.52,2981.61
12/26/2017,122117 (3707918),12/21/2017,0,Sysco Food Services,0,459.72,1526.15,372.15,277.95,0,249.88,23.22,20.38,0,0,0,0,0,0,1.5,0,0,5.76,2936.71
