week_ending_date,Day,Date,No. Of Sales,(A) Total Dollar Sales,(B) Net Less Over rings,(C) Less Net Promo,(D) Net Less Employee Freebies,(E) Royalty Sales
01/02/2018,Wednesday,2017-12-27,128,2036.01,0,0.0,34.61,2001.4
01/02/2018,Thursday,2017-12-28,164,2199.01,0,12.9,21.68,2164.43
01/02/2018,Friday,2017-12-29,166,2319.97,0,0.0,41.36,2278.61
01/02/2018,Saturday,2017-12-30,116,1603.55,0,26.75,28.18,1548.62
01/02/2018,Sunday,2017-12-31,86,1058.72,0,41.9,11.84,1004.98
01/02/2018,Monday,2018-01-01,79,1125.27,0,0.0,29.52,1095.75
01/02/2018,Tuesday,2018-01-02,139,1792.09,0,12.0,59.06,1721.03
01/09/2018,Wednesday,2018-01-03,175,2323.01,0,8.64,23.37,2291.0
01/09/2018,Thursday,2018-01-04,152,1836.89,0,9.64,0.0,1827.25
01/09/2018,Friday,2018-01-05,175,2093.81,0,0.0,41.6,2052.21
01/09/2018,Saturday,2018-01-06,144,2095.18,0,0.0,45.7,2049.48
01/09/2018,Sunday,2018-01-07,95,1483.92,0,0.0,9.84,1474.08
01/09/2018,Monday,2018-01-08,162,2132.65,0,6.5,0.0,2126.15
01/09/2018,Tuesday,2018-01-09,166,1858.04,0,0.0,11.84,1846.2
01/16/2018,Wednesday,2018-01-10,149,2109.21,0,8.84,42.78,2057.59
01/16/2018,Thursday,2018-01-11,152,1994.4,0,14.9,23.58,1955.92
01/16/2018,Friday,2018-01-12,144,2014.02,0,0.0,21.92,1992.1
01/16/2018,Saturday,2018-01-13,173,2592.97,0,0.0,21.92,2571.05
01/16/2018,Sunday,2018-01-14,120,1822.48,0,0.0,28.52,1793.96
01/16/2018,Monday,2018-01-15,145,1832.83,0,0.0,41.51,1791.32
01/16/2018,Tuesday,2018-01-16,133,1646.51,0,0.0,33.42,1613.09
01/23/2018,Wednesday,2018-01-17,147,1858.53,0,0.0,0.0,1858.53
01/23/2018,Thursday,2018-01-18,172,2027.12,0,0.0,32.63,1994.49
01/23/2018,Friday,2018-01-19,137,1704.77,0,0.0,32.42,1672.35
01/23/2018,Saturday,2018-01-20,146,1808.02,0,0.0,40.36,1767.66
01/23/2018,Sunday,2018-01-21,96,1270.12,0,0.0,9.84,1260.28
01/23/2018,Monday,2018-01-22,151,1769.62,0,6.5,0.0,1763.12
01/23/2018,Tuesday,2018-01-23,177,2191.5,0,0.0,23.05,2168.45
01/30/2018,Wednesday,2018-01-24,153,1767.52,0,0.0,45.42,1722.1
01/30/2018,Thursday,2018-01-25,158,1979.71,0,5.5,33.42,1940.79
01/30/2018,Friday,2018-01-26,173,1925.23,0,6.5,13.53,1905.2
01/30/2018,Saturday,2018-01-27,120,1792.44,0,11.0,21.68,1759.76
01/30/2018,Sunday,2018-01-28,114,1520.01,0,5.15,33.77,1481.09
01/30/2018,Monday,2018-01-29,123,1415.42,0,21.85,37.18,1356.39
01/30/2018,Tuesday,2018-01-30,167,2106.21,0,0.0,39.13,2067.08
02/06/2018,Wednesday,2018-01-31,150,1991.84,0,0.0,22.03,1969.81
02/06/2018,Thursday,2018-02-01,169,2008.81,0,0.0,21.68,1987.13
02/06/2018,Friday,2018-02-02,150,2310.55,0,0.0,18.68,2291.87
02/06/2018,Saturday,2018-02-03,165,2640.71,0,15.2,32.37,2593.14
02/06/2018,Sunday,2018-02-04,80,1372.64,0,0.0,18.68,1353.96
02/06/2018,Monday,2018-02-05,141,1646.32,0,10.9,28.76,1606.66
02/06/2018,Tuesday,2018-02-06,126,1555.24,0,0.0,43.21,1512.03
02/13/2018,Wednesday,2018-02-07,154,1975.12,0,7.95,24.37,1942.8
02/13/2018,Thursday,2018-02-08,179,2326.43,0,0.0,41.68,2284.75
02/13/2018,Friday,2018-02-09,186,2109.6,0,0.0,21.08,2088.52
02/13/2018,Saturday,2018-02-10,131,1711.25,0,0.0,42.05,1669.2
02/13/2018,Sunday,2018-02-11,98,1506.7,0,0.0,0.0,1506.7
02/13/2018,Monday,2018-02-12,143,1596.53,0,0.0,6.5,1590.03
02/13/2018,Tuesday,2018-02-13,135,1525.0,0,5.5,42.37,1477.13
02/20/2018,Wednesday,2018-02-14,138,1605.61,0,6.5,13.74,1585.37
02/20/2018,Thursday,2018-02-15,165,1863.49,0,8.85,21.79,1832.85
02/20/2018,Friday,2018-02-16,172,2081.75,0,0.0,40.67,2041.08
02/20/2018,Saturday,2018-02-17,143,2174.75,0,0.0,29.76,2144.99
02/20/2018,Sunday,2018-02-18,124,1745.46,0,0.0,9.84,1735.62
02/20/2018,Monday,2018-02-19,172,2149.27,0,14.03,20.84,2114.4
02/20/2018,Tuesday,2018-02-20,153,2045.55,0,0.0,18.68,2026.87
02/27/2018,Wednesday,2018-02-21,138,1648.78,0,0.0,40.76,1608.02
02/27/2018,Thursday,2018-02-22,159,1900.44,0,0.0,22.39,1878.05
02/27/2018,Friday,2018-02-23,174,2056.79,0,0.0,30.9,2025.89
02/27/2018,Saturday,2018-02-24,146,2178.37,0,0.0,27.82,2150.55
02/27/2018,Sunday,2018-02-25,104,1377.24,0,0.0,10.08,1367.16
02/27/2018,Monday,2018-02-26,163,1903.28,0,0.0,26.07,1877.21
02/27/2018,Tuesday,2018-02-27,139,1686.03,0,6.5,53.38,1626.15
03/06/2018,Wednesday,2018-02-28,165,2064.6,0,23.05,33.13,2008.42
03/06/2018,Thursday,2018-03-01,162,1938.71,0,0.0,28.08,1910.63
03/06/2018,Friday,2018-03-02,191,2419.84,0,82.0,28.23,2309.61
03/06/2018,Saturday,2018-03-03,158,2170.82,0,0.0,19.39,2151.43
03/06/2018,Sunday,2018-03-04,89,1211.76,0,0.0,0.0,1211.76
03/06/2018,Monday,2018-03-05,164,2120.72,0,0.0,28.32,2092.4
03/06/2018,Tuesday,2018-03-06,159,1879.9,0,0.0,29.68,1850.22
03/13/2018,Wednesday,2018-03-07,168,2415.78,0,0.0,66.86,2348.92
03/13/2018,Thursday,2018-03-08,190,2437.34,0,0.0,20.63,2416.71
03/13/2018,Friday,2018-03-09,210,2513.52,0,12.0,20.84,2480.68
03/13/2018,Saturday,2018-03-10,131,1986.93,0,0.0,26.13,1960.8
03/13/2018,Sunday,2018-03-11,120,1648.01,0,0.0,37.21,1610.8
03/13/2018,Monday,2018-03-12,111,1418.13,0,0.0,0.0,1418.13
03/13/2018,Tuesday,2018-03-13,146,1758.46,0,0.0,42.52,1715.94
03/20/2018,Wednesday,2018-03-14,149,1959.44,0,6.5,19.29,1933.65
03/20/2018,Thursday,2018-03-15,176,2105.76,0,0.0,27.34,2078.42
03/20/2018,Friday,2018-03-16,188,2450.6,0,0.0,22.84,2427.76
03/20/2018,Saturday,2018-03-17,138,1837.3,0,0.0,61.2,1776.1
03/20/2018,Sunday,2018-03-18,122,1656.26,0,0.0,10.08,1646.18
03/20/2018,Monday,2018-03-19,164,1857.33,0,10.75,29.47,1817.11
03/20/2018,Tuesday,2018-03-20,147,1656.23,0,6.5,44.73,1605.0
03/27/2018,Wednesday,2018-03-21,159,1893.86,0,0.0,32.27,1861.59
03/27/2018,Thursday,2018-03-22,173,2043.41,0,0.0,39.85,2003.56
03/27/2018,Friday,2018-03-23,167,2118.54,0,0.0,30.47,2088.07
03/27/2018,Saturday,2018-03-24,174,2826.89,0,0.0,9.84,2817.05
03/27/2018,Sunday,2018-03-25,128,1978.78,0,1.45,36.92,1940.41
03/27/2018,Monday,2018-03-26,175,2148.28,0,0.0,39.57,2108.71
