week_ending_date,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
01/02/2018,91.61,134.64,93.55,0.0,319.8
01/09/2018,49.05,83.3,24.78,0.0,157.13
01/16/2018,127.77,56.63,23.74,29.25,237.39000000000001
01/23/2018,101.94,36.36,6.5,0.0,144.8
01/30/2018,129.55,77.38,50.0,17.2,274.13
02/06/2018,91.4,85.51,26.1,8.5,211.51000000000002
02/13/2018,67.3,105.25,13.45,5.5,191.5
02/20/2018,106.55,36.77,29.38,12.0,184.7
02/27/2018,92.73,90.17,6.5,28.5,217.9
03/06/2018,69.91,90.42,105.05,6.5,271.88
03/13/2018,95.34,95.85,12.0,23.0,226.19
03/20/2018,123.09,91.86,23.75,0.0,238.7
03/27/2018,84.94,102.49,1.45,32.17,221.05
04/03/2018,133.49,160.4,162.89,0.0,456.78
04/10/2018,133.01,186.12,156.95,0.0,476.08
04/17/2018,35.55,237.29,138.07,20.5,431.40999999999997
04/24/2018,82.75,211.34,79.2,0.0,373.29
05/01/2018,118.47,214.45,20.06,0.0,352.97999999999996
05/08/2018,107.71,233.15,267.85,12.87,621.58
05/15/2018,71.6,180.39,421.11,0.0,673.1
05/22/2018,78.89,206.63,588.41,0.0,873.93
05/29/2018,59.26,222.82,270.54,47.29,599.91
06/05/2018,78.61,316.91,359.99,0.0,755.51
06/12/2018,63.54,213.91,225.43,0.0,502.88
06/19/2018,85.39,227.57,534.57,0.0,847.53
06/26/2018,39.8,79.64,330.89,17.17,467.5
06/26/2018,39.8,79.64,330.89,17.17,467.5
07/03/2018,115.98,107.95,521.34,21.76,767.03
07/03/2018,115.98,107.95,521.34,21.76,767.03
07/10/2018,66.84,100.04,485.56,0.0,652.44
07/17/2018,120.78,127.49,92.93,16.17,357.37
07/24/2018,100.52,193.87,53.15,0.0,347.53999999999996
07/31/2018,94.63,126.86,359.76,0.0,581.25
08/07/2018,70.03,146.93,133.19,0.0,350.15
08/14/2018,98.63,144.65,288.76,0.0,532.04
08/21/2018,107.81,167.69,15.72,0.0,291.22
08/28/2018,89.82,186.93,14.89,0.0,291.64
09/04/2018,106.22,131.97,54.06,0.0,292.25
09/11/2018,70.63,167.64,218.7,0.0,456.96999999999997
09/18/2018,68.34,168.77,48.42,0.0,285.53000000000003
09/25/2018,127.77,249.95,235.38,0.0,613.0999999999999
10/02/2018,99.83,183.69,261.13,0.0,544.65
10/09/2018,95.48,177.75,52.17,0.0,325.40000000000003
10/16/2018,76.42,173.47,32.26,0.0,282.15
10/23/2018,96.56,179.32,63.89,0.0,339.77
10/30/2018,122.86,187.61,32.88,0.0,343.35
11/06/2018,93.7,147.83,196.79,47.83,486.15000000000003
11/13/2018,98.05,121.97,161.64,19.46,401.11999999999995
11/20/2018,73.02,156.71,224.7,0.0,454.43
11/27/2018,70.82,139.91,376.27,0.0,587.0
12/04/2018,67.24,140.6,49.0,6.29,263.13
12/11/2018,74.81,195.74,29.66,0.0,300.21000000000004
12/25/2018,84.88,76.8,241.26,0.0,402.94
12/25/2018,84.88,76.8,241.26,0.0,402.94
