week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Office Supplies 5230,Smallwares-KEC 5220,Uniforms-KC 5221,Aprons-Floor Mats 5285,Trash Service 5286,Pest Control 5241,Fuel Surcharge,Discounts,Delivery Charges,Tax,Invoice Totals
01/02/2018,122817 (3719601),12/28/2017,0,Sysco Food Services,0,413.42,1582.85,340.38,77.01,0,142.03,0.0,107.57,0,0,0,0,0,0,1.5,0,0,8.89,2673.65
01/09/2018,010418 (3735754),01/04/2018,0,Sysco Food Services,0,473.84,1272.53,347.82,171.81,0,317.45,0.0,84.53,0,0,0,0,0,0,1.5,0,0,5.761,2675.241
01/16/2018,011118 (3745180),01/11/2018,0,Sysco Food Services,0,450.69,1539.4,429.21,98.67,0,106.38,0.0,78.95,0,0,0,0,0,0,1.5,0,0,8.78,2713.58
01/23/2018,011818 (3757019),01/18/2018,0,Sysco Food Services,0,403.24,1749.98,463.73,178.33,0,226.63,0.0,72.7,0,0,0,0,0,0,1.5,0,0,6.02,3102.13
01/30/2018,012518 (3770019),01/25/2018,0,Sysco Food Services,0,422.45,1677.06,399.59,165.39,0,237.25,83.06,58.57,0,0,0,0,0,0,1.5,0,0,8.92,3053.79
02/06/2018,020118 (3785971),02/01/2018,0,Sysco Food Services,0,422.45,1330.99,408.69,121.73,0,151.63,38.9,35.66,0,0,0,0,0,0,2.0,0,0,2.95,2515.0
02/13/2018,020818 (3796427),02/08/2018,0,Sysco Food Services,0,473.84,1716.85,492.28,66.61,0,301.73,16.12,61.35,0,0,0,0,0,0,2.0,0,0,8.41,3139.19
02/20/2018,021518 (3809797),02/15/2018,0,Sysco Food Services,0,408.33,1568.02,393.83,144.41,0,144.93,0.0,56.25,0,0,0,0,0,0,2.0,0,0,6.49,2724.26
02/27/2018,022218 (3825347),02/22/2018,0,Sysco Food Services,0,464.81,1667.63,383.76,166.95,0,376.98,0.0,76.63,0,0,0,0,0,0,2.0,0,0,13.77,3152.53
02/27/2018,022718 (3832446),02/27/2018,0,Local SuperMarket,0,0.0,8.78,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,8.78
03/06/2018,030118 (3836385),03/01/2018,0,Sysco Food Services,0,365.97,1743.94,461.87,199.84,0,82.05,0.0,35.66,0,0,0,0,0,0,2.0,0,0,6.06,2897.39
03/06/2018,Transfer OUT - 315546,03/01/2018,03/01/2018,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,0.0,0.0,-6.006,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,-6.006
03/13/2018,030818 (3850043),03/08/2018,0,Sysco Food Services,0,487.96,1330.43,563.07,199.82,0,303.48,62.12,76.63,0,0,0,0,0,0,0.0,0,0,6.32,3029.83
03/20/2018,031518 (3863526),03/15/2018,0,Sysco Food Services,0,464.81,1738.97,408.69,0.0,0,167.1,0.0,128.64,0,0,0,0,0,0,2.0,0,0,19.19,2929.4
03/27/2018,032218 (3877514),03/22/2018,0,Sysco Food Services,0,459.72,1758.53,460.72,218.5,0,263.43,42.79,35.66,0,0,0,0,0,0,2.0,0,0,2.942,3244.292
04/03/2018,032918 (3896578),03/29/2018,0,Sysco Food Services,0,464.81,2009.45,470.1,101.49,0,183.23,0.0,35.66,0,0,0,0,0,0,2.0,0,0,2.942,3269.682
04/10/2018,196651379 (3917804),04/05/2018,0,Sysco Food Services,0,463.97,1884.1,460.72,248.99,0,128.8,0.0,54.96,0,0,0,0,0,0,1.5,0,0,7.3532,3250.3932
04/17/2018,196667193 (3932548),04/12/2018,0,Sysco Food Services,0,492.15,1909.88,439.44,61.75,0,173.8,42.79,63.87,0,0,0,0,0,0,1.5,0,0,6.6256,3191.8056
04/24/2018,196683242 (3944081),04/19/2018,0,Sysco Food Services,0,421.7,1586.37,435.79,55.75,0,152.2,23.0,76.65,0,0,0,0,0,0,1.5,0,0,5.0631,2758.0231
