week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies,Office Supplies 5230,Operating Supplies 5220
01/02/2018,0.03758158887546542,0.12375286576753126,0.030447273997867265,0.012143627076908884,0.028706280048324553,0.024740585201679165,0.001207462615228167,0.25857968358300487,0.2587032968481916,-4.35,1500.0001,678.6988,1087.0223,373.9251,346.05,0.0,3985.6963,0.0,0.0,0.0,0.0,0.0,3985.6963,91.61,134.64,93.55,0.0,319.8,0,0
01/09/2018,0.03217767569718234,0.11380275617607694,0.02936001736173906,0.011513979816978338,0.02860749448403082,0.014276652077983136,0.004342727963250982,0.2340813035772416,0.23418981444641365,-5.58,1585.0,713.9527,911.6032,367.6087,379.12,0.0,3957.2846,0.0,0.0,0.0,0.0,0.0,3957.2846,49.05,83.3,24.78,0.0,157.13,0,0
01/16/2018,0.0341007263556188,0.11540542604346724,0.033649576589910954,0.00770769074863585,0.02134746175178877,0.015610322842164308,-0.0002712379446234111,0.22754996638696254,0.22765701427733406,-11.8,1494.0,764.0564,1001.3727,373.2046,369.4,0.0,4002.0337,0.0,0.0,0.0,0.0,0.0,4002.0337,127.77,56.63,23.74,29.25,237.39000000000001,0,0
01/23/2018,0.029419613165179173,0.12042172881656549,0.032464448822139606,0.013095288241665668,0.02336798715406883,0.013471837766277521,0.001106108785020681,0.233347012750917,0.23346578060568451,-4.25,1494.8334,840.7912,989.3159,380.7057,387.82,0.0,4093.4662000000003,0.0,0.0,0.0,0.0,0.0,4093.4662000000003,101.94,36.36,6.5,0.0,144.8,0,0
01/30/2018,0.034593948446172966,0.12416338971450121,0.0300565624065489,0.011457837259545809,0.01875737813975728,0.017326502773748777,0.0017748234123906373,0.2381304421526656,0.23825037940149701,-9.45,1506.0,650.719,1122.2268,375.4393,383.42,0.0,4037.8051,0.0,0.0,0.0,0.0,0.0,4037.8051,129.55,77.38,50.0,17.2,274.13,0,0
02/06/2018,0.03409256615538392,0.11011905122758871,0.0345382597065971,0.008414740084177929,0.016961136646086714,0.016101539910587753,0.0033522128682969454,0.22357950659871906,0.22372736877047428,-13.7,1500.3333,701.1643,1166.4953,385.6352,374.77,0.0,4128.3981,0.0,0.0,0.0,0.0,0.0,4128.3981,91.4,85.51,26.1,8.5,211.51000000000002,0,0
02/13/2018,0.03374305426476967,0.12375195578571418,0.03137398701083789,0.010615459785124346,0.020986515960387846,0.016193066538672994,2.8100572285446732e-05,0.23669213991779245,0.2368489949124084,-0.29,1506.0,720.9553,1209.4735,393.4711,378.09,0.0,4207.9899000000005,0.0,0.0,0.0,0.0,0.0,4207.9899000000005,67.3,105.25,13.45,5.5,191.5,0,0
02/20/2018,0.030737120478154342,0.12214338191173929,0.03296215099210587,0.011778612134747266,0.007461531932081943,0.020598724707080684,0.0023318147093344898,0.22801333686524386,0.2281596867527008,-26.93,1558.8306,875.0856,1149.0472,410.2493,417.05,0.0,4410.2627,330.0,0.0,37.785,0.0,367.78499999999997,4778.0477,106.55,36.77,29.38,12.0,184.7,0,0
02/27/2018,0.03303635891656532,0.12296179964912367,0.032514091129039226,0.011904135619911656,0.014764326994187877,0.012072876252947824,-8.375075386658141e-05,0.2271698378079091,0.22732668911208848,-4.78,1476.5001,1016.5483,1149.5372,417.0761,432.15,0.0,4491.8117,130.0,230.0,14.885,26.335,401.21999999999997,4893.0317000000005,92.73,90.17,6.5,28.5,217.9,0,0
03/06/2018,0.03354669409365979,0.11708514560329122,0.03672909929126814,0.009155519018422683,0.01853559412878856,0.01782178490332346,0.0009641722830436699,0.23383800932179752,0.23398287020103062,-4.7,1531.8334,1025.9998,1078.9812,416.4152,387.43,0.0,4440.6596,0.0,0.0,0.0,0.0,0.0,4440.6596,69.91,90.42,105.05,6.5,271.88,0,0
03/13/2018,0.031884411034710416,0.12008503918347711,0.030588051913610855,0.008943989245438586,0.020100168075287576,0.015134372066352706,0.0011309428508756805,0.227866974369753,0.227866974369753,0.53,1509.1667,1045.0385,1144.4366,423.4945,402.43,0.0,4524.5663,0.0,0.0,0.0,0.0,0.0,4524.5663,95.34,95.85,12.0,23.0,226.19,0,0
03/20/2018,0.03421474799821341,0.1278657124348883,0.03143985174799526,0.012456096760167188,0.023962842344700704,0.016337388670494255,0.0007758235647330606,0.24705246352119217,0.24720036057301234,5.91,1521.7844,966.1697,1136.1703,414.9622,387.59,0.0,4426.6766,0.0,0.0,0.0,0.0,0.0,4426.6766,123.09,91.86,23.75,0.0,238.7,0,0
03/27/2018,0.03611246161462086,0.12096800916553638,0.03379439389000014,0.008555005963233213,0.02795882350573718,0.019832237949774678,0.001916995013422305,0.2491379271023247,0.24927208308011384,-25.26,1505.8333,925.6722,1075.4649,401.5481,409.17,0.0,4317.6885,0.0,0.0,0.0,0.0,0.0,4317.6885,84.94,102.49,1.45,32.17,221.05,0,0
04/03/2018,0.030364439745529444,0.12517925591060716,0.029616471317377276,0.013261765617309823,0.02355643376656519,0.014857128274303204,9.264478025483525e-05,0.23692813941194701,0.2370739678083815,-2.58,1410.8333,891.4808,818.7126,357.3576,359.19,0.0,3837.5742999999998,0.0,0.0,0.0,0.0,0.0,3837.5742999999998,133.49,160.4,162.89,0.0,456.78,0,0
04/10/2018,0.030603433882744495,0.13326418113597496,0.031107818476512547,0.010483435559216926,0.020214402959386084,0.007102210538827858,0.002880578135638988,0.2356560606883019,0.23575912251784173,0.0,1477.1667,1053.2745,1336.1406,442.7236,442.9,0.0,4752.2054,0.0,0.0,0.0,0.0,0.0,4752.2054,133.01,186.12,156.95,0.0,476.08,0,0
