week_ending_date,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost
01/01/2019,1415.2833,1046.7744,846.2791,378.8046,239.47,0.0,3926.6114,0.0,0.0,0.0,0.0,0.0,3926.6114
01/08/2019,1377.0,983.6517,912.8993,374.8216,318.19,0.0,3966.5625999999997,0.0,0.0,0.0,0.0,0.0,3966.5625999999997
01/15/2019,1503.8433,1335.8868,915.2559,429.9459,259.44,0.0,4444.371899999999,0.0,0.0,0.0,0.0,0.0,4444.371899999999
01/22/2019,1530.0972,1611.9788,789.1937,450.1304,323.81,0.0,4705.2101,0.0,0.0,0.0,0.0,0.0,4705.2101
01/29/2019,1544.2342,1697.2655,852.1295,468.7205,298.07,0.0,4860.4197,0.0,0.0,0.0,0.0,0.0,4860.4197
02/05/2019,1408.8333,1173.6739,928.2503,401.9817,285.36,0.0,4198.0992,0.0,0.0,0.0,0.0,0.0,4198.0992
02/12/2019,1514.7185,1365.5606,946.948,438.2175,309.91,0.0,4575.3546,0.0,0.0,0.0,0.0,0.0,4575.3546
02/19/2019,1489.6668,1195.811,860.0874,405.9672,290.5,0.0,4242.0324,0.0,0.0,0.0,0.0,0.0,4242.0324
02/26/2019,1485.1666,1361.4054,993.2337,439.6578,300.53,0.0,4579.9935,0.0,0.0,0.0,0.0,0.0,4579.9935
03/05/2019,1389.5138,1138.9102,729.0013,372.9752,303.08,0.0,3933.4804999999997,0.0,0.0,0.0,0.0,0.0,3933.4804999999997
03/12/2019,1539.6739,1277.0327,837.2215,418.3748,304.51,0.0,4376.8129,300.0,0.0,34.35,0.0,334.35,4711.1629
03/19/2019,1436.3381,1580.8269,919.5611,450.7551,304.42,0.0,4691.9012,200.0,0.0,22.9,0.0,222.9,4914.8012
03/26/2019,1366.6668,1660.0217,1017.3361,463.0408,290.73,0.0,4797.795400000001,0.0,0.0,0.0,0.0,0.0,4797.795400000001
04/02/2019,1499.6666,1675.9194,900.4878,466.7105,294.01,0.0,4836.7943000000005,0.0,0.0,0.0,0.0,0.0,4836.7943000000005
04/09/2019,1500.0,1938.9769,1154.7566,525.9825,310.81,0.0,5430.526,0.0,0.0,0.0,0.0,0.0,5430.526
04/16/2019,1484.8333,1632.607,1311.3479,507.0962,289.53,0.0,5225.4144,0.0,0.0,0.0,0.0,0.0,5225.4144
04/23/2019,1492.6667,1606.8655,1194.7088,491.6906,281.77,0.0,5067.7016,0.0,0.0,0.0,0.0,0.0,5067.7016
04/30/2019,1581.7158,1424.6595,1080.6877,467.9687,251.33,0.0,4806.3616999999995,0.0,0.0,0.0,0.0,0.0,4806.3616999999995
05/07/2019,1306.1756,1597.8925,1208.276,470.8634,297.84,0.0,4881.047500000001,0.0,0.0,0.0,0.0,0.0,4881.047500000001
05/14/2019,1423.2041,1801.8453,684.8973,447.6889,311.51,0.0,4669.1456,600.0,0.0,68.7,0.0,668.7,5337.8456
05/21/2019,1550.5852,1755.9668,1100.8848,504.6515,338.07,0.0,5250.158299999999,0.0,0.0,0.0,0.0,0.0,5250.158299999999
05/28/2019,1560.4498,2013.9755,1163.0865,542.4451,265.92,0.0,5545.8769,0.0,0.0,0.0,0.0,0.0,5545.8769
06/04/2019,1840.1146,2505.5326,862.9061,596.3794,267.9,0.0,6072.8327,0.0,0.0,0.0,0.0,0.0,6072.8327
06/11/2019,1760.7898,1965.9475,876.9937,527.1272,297.82,0.0,5428.678199999999,0.0,0.0,0.0,0.0,0.0,5428.678199999999
06/18/2019,1787.5275,2357.9278,874.4811,574.7827,270.85,0.0,5865.5691,0.0,0.0,0.0,0.0,0.0,5865.5691
06/25/2019,1557.3944,2285.1472,967.9864,550.8055,296.14,0.0,5657.4735,0.0,0.0,0.0,0.0,0.0,5657.4735
07/02/2019,1544.7362,2682.3524,1033.4139,602.3275,344.53,0.0,6207.360000000001,0.0,0.0,0.0,0.0,0.0,6207.360000000001
07/09/2019,1513.1268,1852.6003,679.4816,463.1764,295.85,0.0,4804.235100000001,0.0,0.0,0.0,0.0,0.0,4804.235100000001
07/16/2019,1800.2026,1999.9518,740.2076,519.8714,306.56,0.0,5366.7934000000005,0.0,0.0,0.0,0.0,0.0,5366.7934000000005
07/23/2019,1624.3762,2112.674,951.0243,536.7845,325.73,0.0,5550.589,0.0,0.0,0.0,0.0,0.0,5550.589
07/30/2019,1545.6623,1907.3227,904.3356,498.9132,312.19,0.0,5168.4238,0.0,0.0,0.0,0.0,0.0,5168.4238
08/06/2019,1568.8723,1841.6519,783.7333,480.2425,337.21,0.0,5011.71,150.0,0.0,17.175,0.0,167.175,5178.885
08/13/2019,1479.28,1871.7691,839.08,479.7698,288.95,0.0,4958.8489,0.0,0.0,0.0,0.0,0.0,4958.8489
08/13/2019,1479.28,1871.7691,839.08,479.7698,288.95,0.0,4958.8489,0.0,0.0,0.0,0.0,0.0,4958.8489
08/27/2019,1527.4457,2014.88,611.282,475.5881,341.12,0.0,4970.3158,0.0,0.0,0.0,0.0,0.0,4970.3158
09/03/2019,1621.6997,1467.3554,737.9238,438.1891,311.53,0.0,4576.697999999999,0.0,0.0,0.0,0.0,0.0,4576.697999999999
09/10/2019,1641.4929,1569.6147,702.2804,448.0829,284.89,0.0,4646.360900000001,0.0,0.0,0.0,0.0,0.0,4646.360900000001
09/17/2019,1737.0611,1390.4389,553.1668,421.4363,315.8,0.0,4417.9031,0.0,0.0,0.0,0.0,0.0,4417.9031
09/24/2019,1619.5443,1841.0434,593.1934,464.1579,289.08,0.0,4807.019,0.0,0.0,0.0,0.0,0.0,4807.019
10/01/2019,1272.8524,1291.8336,591.738,361.4105,290.29,0.0,3808.1245,0.0,0.0,0.0,0.0,0.0,3808.1245
10/08/2019,1673.8001,1615.7357,673.9785,453.8224,293.58,0.0,4710.9167,0.0,0.0,0.0,0.0,0.0,4710.9167
10/15/2019,1826.6733,1171.6346,731.2518,427.0346,287.02,0.0,4443.614299999999,0.0,0.0,0.0,0.0,0.0,4443.614299999999
10/22/2019,1910.7953,1587.8849,547.1899,463.2521,319.6,0.0,4828.7222,0.0,0.0,0.0,0.0,0.0,4828.7222
10/08/2019,1673.8001,1615.7357,673.9785,453.8224,293.58,0.0,4710.9167,0.0,0.0,0.0,0.0,0.0,4710.9167
11/05/2019,1917.8484,1044.1295,527.1748,399.508,329.8,0.0,4218.4607,0.0,0.0,0.0,0.0,0.0,4218.4607
11/12/2019,1880.1889,1151.0942,508.8829,405.349,324.01,0.0,4269.525000000001,0.0,0.0,0.0,0.0,0.0,4269.525000000001
11/19/2019,1374.158,1325.9489,556.058,372.8309,343.09,0.0,3972.0858,0.0,0.0,0.0,0.0,0.0,3972.0858
11/26/2019,1812.6723,1029.1118,510.2267,383.8052,327.81,0.0,4063.6259999999997,0.0,0.0,0.0,0.0,0.0,4063.6259999999997
12/03/2019,1552.4903,1048.2493,340.5845,336.7816,222.43,0.0,3500.5357,0.0,0.0,0.0,0.0,0.0,3500.5357
12/10/2019,2391.7208,1119.1856,753.9654,488.3278,347.87,0.0,5101.0696,0.0,0.0,0.0,0.0,0.0,5101.0696
12/17/2019,1893.0015,1202.7575,856.0675,452.4841,360.48,0.0,4764.7906,0.0,0.0,0.0,0.0,0.0,4764.7906
12/24/2019,2075.4182,1205.94,775.7619,464.5403,306.21,0.0,4827.8704,0.0,0.0,0.0,0.0,0.0,4827.8704
12/31/2019,1330.7866,932.8971,457.37,311.5606,227.93,0.0,3260.5443,0.0,0.0,0.0,0.0,0.0,3260.5443
