week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Office Supplies 5230,Smallwares-KEC 5220,Uniforms-KC 5221,Aprons-Floor Mats 5285,Trash Service 5286,Pest Control 5241,Fuel Surcharge,Discounts,Delivery Charges,Tax,Invoice Totals,Misc Monthly Audit Item
01/01/2019,296284695 (4445973),12/27/2018,0,Sysco Food Services,0.0,363.98,1188.11,303.39,101.22,0.0,125.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,2095.4,0
01/08/2019,296299449 (4457999),01/03/2019,0,Sysco Food Services,0.0,363.98,1661.93,371.51,173.91,0.0,188.58,0.0,46.38,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.56,2815.85,0
01/08/2019,296311524 (4458020),01/08/2019,0,Sysco Food Services,0.0,0.0,0.0,0.0,37.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.77,0
01/15/2019,296315100 (4474244),01/10/2019,0,Sysco Food Services,0.0,447.52,1289.07,271.74,121.97,0.0,183.43,0.0,46.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,2362.69,0
01/22/2019,296331146 (4487011),01/17/2019,0,Sysco Food Services,0.0,434.33,1551.69,310.14,130.44,0.0,195.18,56.91,31.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.51,2715.3,0
01/29/2019,296347015 (4500157),01/24/2019,0,Sysco Food Services,0.0,434.33,1693.02,417.66,94.56,0.0,172.45,0.0,46.38,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.57,2862.97,0
01/29/2019, (4500168),01/27/2019,0,Local SuperMarket,0.0,0.0,10.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58,0
02/05/2019,296363024 (4512961),01/31/2019,0,Sysco Food Services,0.0,452.49,1674.97,505.8,213.07,0.0,29.53,0.0,69.52,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.48,2951.86,0
02/12/2019,296383727 (4526229),02/07/2019,0,Sysco Food Services,0.0,470.65,1430.15,945.91,212.99,0.0,172.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.08,3237.23,0
02/12/2019,296387938 (4526234),02/09/2019,0,Sysco Food Services,0.0,0.0,23.67,0.0,0.0,0.0,0.0,42.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.46,0
02/19/2019,296400318 (4536451),02/14/2019,0,Sysco Food Services,0.0,452.49,1593.85,417.66,82.75,0.0,233.63,16.7,15.28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2813.36,0
02/19/2019, (4536476),02/15/2019,0,Local SuperMarket,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0
02/19/2019,Transfer IN - 392681,02/19/2019,02/19/2019,"1393 - E Beltline Rd, Richardson, TX  ",0.0,0.0,16.92,0.0,0.0,0.0,0.0,8.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.23,0
02/26/2019, (4552575),02/25/2019,0,Local SuperMarket,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0
02/26/2019,296415977 (4552762),02/21/2019,0,Sysco Food Services,0.0,494.7,2025.25,512.34,80.09,0.0,374.9,41.55,31.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.57,3563.5,0
03/05/2019,296432383 (4557185),02/28/2019,0,Sysco Food Services,0.0,453.41,1549.37,438.79,234.26,0.0,169.48,0.0,46.38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.65,2899.34,0
03/12/2019,296452209 (4580590),03/07/2019,0,Sysco Food Services,0.0,504.68,1742.5,434.77,125.09,0.0,147.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.49,2959.08,0
03/19/2019,296467513 (4595640),03/14/2019,0,Sysco Food Services,0.0,363.98,1835.46,455.63,175.28,0.0,233.65,0.0,46.38,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.57,3114.45,0
03/19/2019, (4595680),03/18/2019,0,Local SuperMarket,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0
03/26/2019,296484668 (4610704),03/21/2019,0,Sysco Food Services,0.0,475.62,1808.9,496.14,273.17,0.0,275.58,66.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,3448.42,0
04/02/2019,296501388 (4624235),03/28/2019,0,Sysco Food Services,0.0,481.55,1633.18,398.65,135.39,0.0,187.5,0.0,46.38,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.57,2886.72,0
04/09/2019,296521077 (4638818),04/04/2019,0,Sysco Food Services,0.0,522.84,2136.83,355.34,129.84,0.0,256.38,0.0,46.38,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.57,3452.18,0
04/16/2019,296538183 (4653475),04/11/2019,0,Sysco Food Services,0.0,541.0,1904.56,495.06,273.18,0.0,114.98,69.97,132.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.05,3539.8,0
04/23/2019,296554681 (4666045),04/18/2019,0,Sysco Food Services,0.0,504.68,1873.99,441.67,138.79,0.0,304.5,0.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.57,3299.3,0
04/30/2019,296571006 (4680355),04/25/2019,0,Sysco Food Services,0.0,470.65,1584.48,382.78,104.06,0.0,97.43,0.0,46.66,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.17,2699.23,0
04/30/2019, (4680389),04/29/2019,0,Local SuperMarket,0.0,0.0,10.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.89,0
04/30/2019,Transfer OUT - 409844,04/29/2019,04/29/2019,"1367 - Preston Rd, Dallas, TX ",0.0,0.0,0.0,-30.5064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.5064,0
05/07/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
05/14/2019,296607318 (4709582),05/09/2019,0,Sysco Food Services,0.0,416.17,1336.7,331.73,293.75,0.0,22.83,56.91,31.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.19,2502.38,0
05/21/2019,296623832 (4723553),05/16/2019,0,Sysco Food Services,0.0,582.29,2116.62,605.0,188.19,0.0,320.65,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.11,3826.36,0
05/28/2019,296639844 (4737065),05/23/2019,0,Sysco Food Services,0.0,652.64,2174.25,594.57,169.58,0.0,432.88,101.41,46.66,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.88,4179.87,0
06/04/2019,296653041 (4751273),05/30/2019,0,Sysco Food Services,0.0,462.47,1507.5,447.3,70.71,0.0,36.23,0.0,85.34,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.05,2618.6,0
06/11/2019,296671681 (4764988),06/06/2019,0,Sysco Food Services,0.0,481.55,2175.5,368.49,135.48,0.0,285.43,0.0,15.56,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.28,3465.79,0
06/18/2019,296685565 (4778938),06/13/2019,0,Sysco Food Services,0.0,504.68,1827.52,448.51,294.83,0.0,282.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,6.12,3366.44,0
06/25/2019,296699990 (4793506),06/20/2019,0,Sysco Food Services,0.0,504.68,1670.96,340.52,188.68,0.0,130.5,101.41,46.66,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,3.85,2989.76,0
07/02/2019,296713980 (4808613),06/27/2019,0,Sysco Food Services,0.0,481.55,1815.72,487.71,168.42,0.0,257.8,0.0,46.66,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,3.85,3264.21,0
07/09/2019,296731012 (4822242),07/04/2019,0,Sysco Food Services,0.0,504.68,1756.04,515.84,119.84,0.0,310.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.03,3210.66,0
07/16/2019,296744111 (4835478),07/11/2019,0,Sysco Food Services,0.0,522.84,1833.59,453.34,123.19,0.0,172.45,0.0,100.9,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,7.67,3215.48,0
07/23/2019,296757762 (4851115),07/18/2019,0,Sysco Food Services,0.0,447.52,1633.71,326.69,231.2,0.0,210.8,45.42,41.3,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,10.8,2948.94,0
07/30/2019,296773565 (4864860),07/25/2019,0,Sysco Food Services,0.0,452.49,2166.56,399.91,158.03,0.0,108.28,0.0,41.3,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.3,3331.37,0
08/06/2019,296793087 (4879321),08/01/2019,0,Sysco Food Services,0.0,522.84,1738.54,432.17,132.96,0.0,217.5,68.89,15.56,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,5.35,3135.31,0
08/13/2019,296807890 (4893140),08/08/2019,0,Sysco Food Services,0.0,522.84,1657.45,524.98,189.99,0.0,275.58,45.42,25.74,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3243.5,0
08/13/2019,296807890 (4893140),08/08/2019,0,Sysco Food Services,0.0,522.84,1657.45,524.98,189.99,0.0,275.58,45.42,25.74,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3243.5,0
08/27/2019,296840057 (4920357),08/22/2019,0,Sysco Food Services,0.0,499.71,1962.66,409.99,169.58,0.0,195.28,0.0,62.66,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,5.17,3306.55,0
09/03/2019,296856510 (4933981),08/29/2019,0,Sysco Food Services,0.0,522.84,1879.54,491.06,200.53,0.0,160.03,0.0,25.74,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.12,3283.36,0
09/10/2019,296875888 (4947000),09/05/2019,0,Sysco Food Services,0.0,457.46,1433.86,294.43,225.37,0.0,233.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.03,2648.3,0
