week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Office Supplies 5230,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies,Operating Supplies 5220
01/01/2019,0.04391801115188829,0.1169511543159977,0.02877739009312178,0.008536445944677883,0.023973693113876843,0.018835327570577404,0.00022417413268113138,0,0.24121619632282099,0.24237838940699735,-21.17,1415.2833,1046.7744,846.2791,378.8046,239.47,0.0,3926.6114,0.0,0.0,0.0,0.0,0.0,3926.6114,55.57,172.2,183.0,0.0,410.77,0
01/08/2019,0.03192033366402166,0.13730359329309028,0.02968967778523398,0.010416315724306817,0.01921337957874688,0.005683233184192389,0.0010450541202798535,0,0.2352715873498717,0.23542444790588668,-55.72,1377.0,983.6517,912.8993,374.8216,318.19,0.0,3966.5625999999997,0.0,0.0,0.0,0.0,0.0,3966.5625999999997,90.67,181.1,39.57,0.0,311.34,0
01/15/2019,0.03780233210332103,0.12079923247232471,0.026660267791249335,0.00921869899841855,0.025069284132841315,0.025053166051660518,0.0019620200316288884,0,0.24656500158144445,0.24656500158144445,-11.5,1503.8433,1335.8868,915.2559,429.9459,259.44,0.0,4444.371899999999,0.0,0.0,0.0,0.0,0.0,4444.371899999999,111.31,205.82,26.24,0.0,343.37,0
01/22/2019,0.03182007877908764,0.12906480393599562,0.032563933068141024,0.010315420005901818,0.028138585168696103,0.004244517269811757,0.0025957000851013485,0,0.2387430383127353,0.23889875898410942,-20.74,1530.0972,1611.9788,789.1937,450.1304,323.81,0.0,4705.2101,0.0,0.0,0.0,0.0,0.0,4705.2101,132.26,138.0,58.45,0.0,328.71,0
01/29/2019,0.03613321989435995,0.11636959047742838,0.029865527550309,0.008963136272505619,0.022417880818178592,0.008437567206683445,0.0005926398588314972,0,0.22277956207829644,0.22293711620798712,-11.74,1544.2342,1697.2655,852.1295,468.7205,298.07,0.0,4860.4197,0.0,0.0,0.0,0.0,0.0,4860.4197,148.8,295.99,45.35,0.0,490.14000000000004,0
02/05/2019,0.03025902295450177,0.11655812113012579,0.027229021183262928,0.021866064194218222,0.01759231357711107,0.015538920147276626,0.0017813085309646478,0,0.23082477171746113,0.23097551544934833,9.8,1408.8333,1173.6739,928.2503,401.9817,285.36,0.0,4198.0992,0.0,0.0,0.0,0.0,0.0,4198.0992,144.23,185.32,105.16,0.0,434.7099999999999,0
02/12/2019,0.03493603878718511,0.13822610161981355,0.069538273592447,0.0024138508199078083,0.017782578408828093,0.01584787239288346,0.0022960891255173247,0,0.28104080474658233,0.28111025608793083,-8.44,1514.7185,1365.5606,946.948,438.2175,309.91,0.0,4575.3546,0.0,0.0,0.0,0.0,0.0,4575.3546,163.53,242.35,242.0,0.0,647.88,0
02/19/2019,0.030638950783255334,0.10552785246490079,0.03499981036619643,0.008767556365261801,0.017473292110556513,0.012881621098115185,0.002186762205982947,0,0.21247584539426898,0.21254357175269042,-19.02,1489.6668,1195.811,860.0874,405.9672,290.5,0.0,4242.0324,0.0,0.0,0.0,0.0,0.0,4242.0324,158.22,283.64,48.9,0.0,490.76,0
02/26/2019,0.03004027415453818,0.1255789947581303,0.026464769266536417,0.01046492211693955,0.01905929568075588,0.01560146633630427,0.001479315743976859,0,0.22868903805718158,0.22875326091563825,-41.34,1485.1666,1361.4054,993.2337,439.6578,300.53,0.0,4579.9935,0.0,0.0,0.0,0.0,0.0,4579.9935,111.2,241.56,131.61,0.0,484.37,0
03/05/2019,0.032752398750094384,0.11808754131019385,0.03288396699830985,0.015411286903289127,0.024827390183129763,0.015944391687430667,0.0007682171420606019,0,0.24067519297450823,0.24074779436961663,-44.93,1389.5138,1138.9102,729.0013,372.9752,303.08,0.0,3933.4804999999997,0.0,0.0,0.0,0.0,0.0,3933.4804999999997,190.88,263.87,76.5,0.0,531.25,0
