week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
01/07/2020,Royalty,6,Payment,704.6772
01/07/2020,Advertising,1.5,Payment,176.1693
01/07/2020,Media,3,Payment,352.3386
01/14/2020,Royalty,6,Payment,695.8614
01/14/2020,Advertising,1.5,Payment,173.96535
01/14/2020,Media,3,Payment,347.9307
01/21/2020,Royalty,6,Payment,664.9068
01/21/2020,Advertising,1.5,Payment,166.2267
01/21/2020,Media,3,Payment,332.4534
01/28/2020,Royalty,6,Payment,672.3696
01/28/2020,Advertising,1.5,Payment,168.0924
01/28/2020,Media,3,Payment,336.1848
02/04/2020,Royalty,6,Payment,768.1488
02/04/2020,Advertising,1.5,Payment,192.0372
02/04/2020,Media,3,Payment,384.0744
02/11/2020,Royalty,6,Payment,705.459
02/11/2020,Advertising,1.5,Payment,176.36475
02/11/2020,Media,3,Payment,352.7295
02/18/2020,Royalty,6,Payment,742.9164
02/18/2020,Advertising,1.5,Payment,185.7291
02/18/2020,Media,3,Payment,371.4582
02/25/2020,Royalty,6,Payment,763.626
02/25/2020,Advertising,1.5,Payment,190.9065
02/25/2020,Media,3,Payment,381.813
03/03/2020,Royalty,6,Payment,748.5954
03/03/2020,Advertising,1.5,Payment,187.14885
03/03/2020,Media,3,Payment,374.2977
03/10/2020,Royalty,6,Payment,763.455
03/10/2020,Advertising,1.5,Payment,190.86375
03/10/2020,Media,3,Payment,381.7275
03/17/2020,Royalty,6,Payment,610.3542
03/17/2020,Advertising,1.5,Payment,152.58855
03/17/2020,Media,3,Payment,305.1771
03/24/2020,Royalty,6,Payment,440.3172
03/24/2020,Advertising,1.5,Payment,110.0793
03/24/2020,Media,3,Payment,220.1586
03/31/2020,Royalty,6,Payment,408.3654
03/31/2020,Advertising,1.5,Payment,102.09135
03/31/2020,Media,3,Payment,204.1827
04/07/2020,Royalty,6,Payment,426.4608
04/07/2020,Advertising,1.5,Payment,106.6152
04/07/2020,Media,3,Payment,213.2304
04/14/2020,Royalty,6,Payment,483.72
04/14/2020,Advertising,1.5,Payment,120.93
04/14/2020,Media,3,Payment,241.86
04/21/2020,Royalty,6,Payment,703.4148
04/21/2020,Advertising,1.5,Payment,175.8537
04/21/2020,Media,3,Payment,351.7074
04/28/2020,Royalty,6,Payment,764.4528
04/28/2020,Advertising,1.5,Payment,191.1132
04/28/2020,Media,3,Payment,382.2264
05/05/2020,Royalty,6,Payment,920.4372
05/05/2020,Advertising,1.5,Payment,230.1093
05/05/2020,Media,3,Payment,460.2186
05/12/2020,Royalty,6,Payment,858.0468
05/12/2020,Advertising,1.5,Payment,214.5117
05/12/2020,Media,3,Payment,429.0234
05/19/2020,Royalty,6,Payment,896.4936
05/19/2020,Advertising,1.5,Payment,224.1234
05/19/2020,Media,3,Payment,448.2468
05/26/2020,Royalty,6,Payment,850.9662
05/26/2020,Advertising,1.5,Payment,212.74155
05/26/2020,Media,3,Payment,425.4831
06/02/2020,Royalty,6,Payment,982.89
06/02/2020,Advertising,1.5,Payment,245.7225
06/02/2020,Media,3,Payment,491.445
06/09/2020,Royalty,6,Payment,1018.8222
06/09/2020,Advertising,1.5,Payment,254.70555
06/09/2020,Media,3,Payment,509.4111
06/16/2020,Royalty,6,Payment,991.7286
06/16/2020,Advertising,1.5,Payment,247.93215
06/16/2020,Media,3,Payment,495.8643
06/23/2020,Royalty,6,Payment,1028.751
06/23/2020,Advertising,1.5,Payment,257.18775
06/23/2020,Media,3,Payment,514.3755
06/30/2020,Royalty,6,Payment,1092.6474
06/30/2020,Advertising,1.5,Payment,273.16185
06/30/2020,Media,3,Payment,546.3237
07/07/2020,Royalty,6,Payment,909.432
07/07/2020,Advertising,1.5,Payment,227.358
07/07/2020,Media,3,Payment,454.716
07/14/2020,Royalty,6,Payment,1003.5678
07/14/2020,Advertising,1.5,Payment,250.89195
07/14/2020,Media,3,Payment,501.7839
07/21/2020,Royalty,6,Payment,1053.7674
07/21/2020,Advertising,1.5,Payment,263.44185
07/21/2020,Media,3,Payment,526.8837
07/28/2020,Royalty,6,Payment,967.4658
07/28/2020,Advertising,1.5,Payment,241.86645
07/28/2020,Media,3,Payment,483.7329
08/04/2020,Royalty,6,Payment,921.8598
08/04/2020,Advertising,1.5,Payment,230.46495
08/04/2020,Media,3,Payment,460.9299
08/11/2020,Royalty,6,Payment,974.706
08/11/2020,Advertising,1.5,Payment,243.6765
08/11/2020,Media,3,Payment,487.353
08/18/2020,Royalty,6,Payment,960.7788
08/18/2020,Advertising,1.5,Payment,240.1947
08/18/2020,Media,3,Payment,480.3894
08/25/2020,Royalty,6,Payment,1018.7022
08/25/2020,Advertising,1.5,Payment,254.67555
08/25/2020,Media,3,Payment,509.3511
09/01/2020,Royalty,6,Payment,938.193
09/01/2020,Advertising,1.5,Payment,234.54825
09/01/2020,Media,3,Payment,469.0965
09/08/2020,Royalty,6,Payment,902.451
09/08/2020,Advertising,1.5,Payment,225.61275
