week_ending_date,Category,Beginning Inventory USD,Purchases USD,Ending Inventory USD,COGS Prcnt as Decimal
01/07/2020,Bread 4311,314.37129999999996,452.49,351.72990000000004,0.03464081749817255
01/07/2020,Food 4312,1560.9217999999992,1977.8703000000003,2109.7921,0.1192435171246708
01/07/2020,Sides 4313,521.6749,342.83000000000004,447.4405,0.03480211751119004
01/07/2020,Paper 4314,360.9412,43.260000000000005,269.51689999999996,0.011238789106700004
01/07/2020,Produce 4315,61.2433,611.9998,63.168600000000005,0.05090792798325752
01/07/2020,Beverage 4316,634.3953,89.3,584.3538,0.01162741115565243
01/07/2020,Catering 4320,133.506,0.0,119.396,0.0011774149941421311
01/07/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
01/07/2020,Sub Total COGS,3587.0537999999992,3517.7501000000007,3945.3978,0.26363799537378546
01/07/2020,Discounted COGS,0.0,0.0,0.0,0.2637631635163236
01/14/2020,Bread 4311,351.72990000000004,480.63,389.9919,0.03760615751863017
01/14/2020,Food 4312,2109.7921,2054.0505999999996,2153.9663,0.17086165475662185
01/14/2020,Sides 4313,447.4405,515.75,474.49800000000005,0.041544250789327365
01/14/2020,Paper 4314,269.51689999999996,275.40000000000003,398.8387,0.01241825764801694
01/14/2020,Produce 4315,63.168600000000005,241.0,224.48800000000003,0.006773729552722988
01/14/2020,Beverage 4316,584.3538,326.42999999999995,599.0615,0.026499832528278908
01/14/2020,Catering 4320,119.396,0.0,111.0018,0.0007135995538621357
01/14/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
01/14/2020,Sub Total COGS,3945.3978,3893.2605999999996,4351.8462,0.2964174823474604
01/14/2020,Discounted COGS,0.0,0.0,0.0,0.2965449988863556
01/21/2020,Bread 4311,389.9919,415.29,394.3903,0.03604264856164174
01/21/2020,Food 4312,2153.9663,1656.535,2530.2395000000006,0.11230218900628497
01/21/2020,Sides 4313,474.49800000000005,391.0,551.4957999999999,0.027543690214602456
01/21/2020,Paper 4314,398.8387,187.37,437.8793,0.01301117967746039
01/21/2020,Produce 4315,224.48800000000003,236.9998,173.805,0.025235001293842627
01/21/2020,Beverage 4316,599.0615,57.35,554.5955,0.008931110555562869
01/21/2020,Catering 4320,111.0018,0.0,105.44760000000001,0.0004872041157353189
01/21/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
01/21/2020,Sub Total COGS,4351.8462,2944.5448,4747.853000000001,0.22355302342513036
01/21/2020,Discounted COGS,0.0,0.0,0.0,0.22368460064121956
01/28/2020,Bread 4311,394.3903,434.33,432.61339999999996,0.03479545181032461
01/28/2020,Food 4312,2530.2395000000006,1333.0053000000003,2283.5923,0.13876234531841994
01/28/2020,Sides 4313,551.4957999999999,375.32,545.9176,0.03345946501497293
01/28/2020,Paper 4314,437.8793,165.45,439.9630000000001,0.014350682149392072
01/28/2020,Produce 4315,173.805,289.5,253.1079,0.018464467707378952
01/28/2020,Beverage 4316,554.5955,274.03,567.2325000000001,0.022961699316664714
01/28/2020,Catering 4320,105.44760000000001,0.0,98.612,0.0006004636384638979
01/28/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
01/28/2020,Sub Total COGS,4747.853000000001,2871.6353,4621.0387,0.26339457495561713
01/28/2020,Discounted COGS,0.0,0.0,0.0,0.26339457495561713
02/04/2020,Bread 4311,432.61339999999996,410.28000000000003,392.3014,0.03471518558238723
02/04/2020,Food 4312,2283.5923,1587.9835,2111.3586000000005,0.13561329709206998
02/04/2020,Sides 4313,545.9176,391.0,473.01779999999997,0.035740465096211926
02/04/2020,Paper 4314,439.9630000000001,162.91,441.28130000000004,0.012449590436744203
02/04/2020,Produce 4315,253.1079,166.0,156.6136,0.02022348008579564
02/04/2020,Beverage 4316,567.2325000000001,198.13,572.2073000000001,0.014881353007161958
02/04/2020,Catering 4320,98.612,0.0,73.2988,0.0019502175708492038
02/04/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
02/04/2020,Sub Total COGS,4621.0387,2916.3035,4220.0788,0.2555735888712201
02/04/2020,Discounted COGS,0.0,0.0,0.0,0.2556891541239846
02/11/2020,Bread 4311,392.3014,452.49,458.2362,0.031980329735060334
02/11/2020,Food 4312,2111.3586000000005,1508.9236000000003,1992.6746,0.1346545790285325
02/11/2020,Sides 4313,473.01779999999997,452.01,503.4774000000001,0.03487553858270842
02/11/2020,Paper 4314,441.28130000000004,264.91,533.5328999999999,0.014284305484774088
02/11/2020,Produce 4315,156.6136,183.0,116.06580000000001,0.018494466910669728
02/11/2020,Beverage 4316,572.2073000000001,128.3,1156.7098,-0.03774236221879528
02/11/2020,Catering 4320,73.2988,0.0,75.8904,-0.00021440721154800745
02/11/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
