week_ending_date,Shift - 1 Wed AM,Shift - 2 Wed PM,Shift - 3 Thu AM,Shift - 4 Thu PM,Shift - 5 Fri AM,Shift - 6 Fri PM,Shift - 7 Sat AM,Shift - 8 Sat PM,Shift - 9 Sun AM,Shift - 10 Sun PM,Shift - 11 Mon AM,Shift - 12 Mon PM,Shift - 13 Tue AM,Shift - 14 Tue PM,Royalty Sales
01/07/2020,579.57,349.85,1261.71,497.69,1361.56,574.46,1221.87,587.36,1178.17,376.03,1449.43,644.89,1127.61,534.42,11744.619999999999
01/14/2020,1203.26,652.72,1023.19,643.12,1061.55,474.15,1440.49,435.58,763.13,452.75,1108.52,621.87,1261.16,456.2,11597.69
01/21/2020,1185.74,449.3,877.78,691.23,1355.06,430.19,1098.99,599.98,991.55,305.0,1297.58,398.25,966.22,434.91,11081.779999999997
01/28/2020,1070.96,490.8,922.48,556.95,1202.05,664.96,1237.56,488.33,963.68,498.14,946.22,503.69,1179.34,481.0,11206.160000000002
02/04/2020,1224.66,628.37,1061.06,579.58,1135.91,685.32,1563.24,578.73,1532.7,243.35,1125.8,570.12,1402.31,471.33,12802.48
02/11/2020,929.97,443.42,1159.83,631.1,1398.18,683.81,1100.09,756.39,1335.56,0.0,1203.95,360.3,1248.84,506.21,11757.65
02/18/2020,1147.44,596.89,1012.77,787.2,1185.87,611.9,1515.18,351.99,1242.83,427.97,1216.71,659.49,1065.87,559.83,12381.94
02/25/2020,1281.79,460.95,1416.94,482.17,1178.15,618.4,1100.3,517.95,1280.18,795.52,1278.73,525.52,1209.16,581.34,12727.1
03/03/2020,1334.41,526.22,1163.57,562.36,1065.72,600.43,1293.28,710.44,1348.66,540.26,891.0,386.55,1536.67,517.02,12476.59
03/10/2020,967.25,593.4,1333.97,694.37,1507.93,807.25,1425.97,531.45,1013.31,425.32,1141.36,473.64,1451.06,357.97,12724.249999999998
03/17/2020,1173.77,531.61,1343.73,768.9,1352.48,372.64,649.05,491.98,483.49,386.31,863.68,493.68,850.1,411.15,10172.57
03/24/2020,805.29,465.39,1106.39,425.02,713.07,232.41,607.24,279.63,452.41,187.13,769.84,210.49,655.4,428.91,7338.619999999999
03/31/2020,783.44,335.97,683.74,266.43,1068.05,213.15,546.41,394.04,359.19,183.26,661.76,226.07,856.49,228.09,6806.09
04/07/2020,957.97,427.1,566.83,309.82,785.82,372.41,499.2,351.14,522.16,295.53,741.28,397.77,590.34,290.31,7107.679999999999
04/14/2020,748.57,362.04,1025.04,356.5,866.07,668.97,1194.04,277.8,0.0,0.0,634.03,542.33,981.65,404.96,8062.0
