week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Office Supplies 5230,Smallwares-KEC 5220,Uniforms-KC 5221,Aprons-Floor Mats 5285,Trash Service 5286,Pest Control 5241,Fuel Surcharge,Misc Monthly Audit Item,Discounts,Delivery Charges,Tax,Invoice Totals
01/05/2021,396842464 (5736503),12/31/2020,0,Sysco Food Services,0,648.82,2433.78,623.26,220.55,0,242.19,0.0,105.35,0,0,0,0,0,0,0.0,0,0,0,8.69,4282.64
01/12/2021,396857380 (5746664),01/07/2021,0,Sysco Food Services,0,524.19,2002.8,466.28,208.9,0,146.91,38.46,68.88,0,0,0,0,0,0,0.0,0,0,0,9.09,3465.51
01/19/2021,396870234 (5756604),01/14/2021,0,Sysco Food Services,0,460.71,1989.57,528.85,225.52,0,371.76,37.32,141.57,0,0,0,0,0,0,0.0,0,0,0,11.68,3766.98
01/26/2021,396883172 (5767265),01/21/2021,0,Sysco Food Services,0,524.19,2409.35,595.05,146.07,0,140.08,0.0,136.7,0,0,0,0,0,0,0.0,0,0,0,11.28,3962.72
02/02/2021,396898370 (5780598),01/29/2021,0,Sysco Food Services,0,46.68,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,46.68
02/02/2021,396896670 (5780644),01/28/2021,0,Sysco Food Services,0,399.56,1795.34,541.33,142.54,0,296.44,71.93,181.11,0,0,0,0,0,0,0.0,0,0,0,14.94,3443.19
02/02/2021,396883171 (5788395),01/28/2021,0,Sysco Food Services,0,0.0,179.28,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,179.28
02/09/2021,396914388 (5792015),02/04/2021,0,Sysco Food Services,0,605.41,2080.32,624.87,329.14,0,250.64,0.0,186.49,0,0,0,0,0,0,0.0,0,0,0,19.47,4096.34
02/09/2021,396920693 (5792027),02/06/2021,0,Sysco Food Services,0,0.0,118.18,43.66,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,161.84
02/09/2021,396920738 (5792029),02/06/2021,0,Sysco Food Services,0,0.0,0.0,0.0,49.62,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,4.0937,53.7137
02/16/2021,396928246 (5810895),02/11/2021,0,Sysco Food Services,0,567.6,2588.71,635.43,210.95,0,408.01,36.27,76.16,0,0,0,0,0,0,0.0,0,0,0,6.28,4529.41
02/16/2021,Transfer IN - 583294,02/10/2021,02/10/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,0.0,25.71,0.0,0,6.7296,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,32.4396
02/23/2021,396939908 (5812778),02/20/2021,0,Sysco Food Services,0,235.75,504.5,294.0,51.28,0,22.99,37.46,178.59,0,0,0,0,0,0,0.0,0,0,0,14.75,1339.32
03/02/2021,396949151 (5821664),02/25/2021,0,Sysco Food Services,0,590.1,2407.08,661.67,144.05,0,352.6,0.0,76.42,0,0,0,0,0,0,0.0,0,0,0,6.3,4238.22
03/02/2021,02252021 (5823413),02/25/2021,0,Local SuperMarket,0,0.0,0.0,0.0,0.0,0,9.78,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,9.78
03/02/2021,Transfer IN - 588439,02/26/2021,02/26/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,0.0,0.0,16.78,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,16.78
03/09/2021,396966589 (5832840),03/04/2021,0,Sysco Food Services,0,593.37,2533.9,775.32,261.5,0,274.7,0.0,261.03,0,0,0,0,0,0,0.0,0,0,0,52.64,4752.46
03/09/2021,396965336 (5832842),03/03/2021,0,Sysco Food Services,0,0.0,61.32,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,61.32
03/09/2021,396965778 (5832849),03/04/2021,0,Sysco Food Services,0,0.0,0.0,43.8,33.56,0,22.99,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,100.35
03/09/2021,Transfer OUT - 590730,03/09/2021,03/09/2021,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,-219.6905,-23.6232,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-243.3137
03/09/2021,Transfer IN - 591166,03/08/2021,03/08/2021,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,29.65,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,29.65
03/09/2021,Transfer IN - 591500,03/08/2021,03/08/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,0.0,0.0,0.0,0,0.0,29.1875,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,29.1875
03/09/2021,Transfer OUT - 591503,03/08/2021,03/08/2021,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,-15.33,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-15.33
