week_ending_date,Account,Wed - 1,Wed - 2,Thu - 3,Thu - 4,Fri - 5,Fri - 6,Sat - 7,Sat - 8,Sun - 9,Sun - 10,Mon - 11,Mon - 12,Tue - 13,Tue - 14,Totals
01/05/2021,0 - 0.0,12/30/2020,12/30/2020,12/31/2020,12/31/2020,01/01/2021,01/01/2021,01/02/2021,01/02/2021,01/03/2021,01/03/2021,01/04/2021,01/04/2021,01/05/2021,01/05/2021,0.0
01/05/2021,Bread - 4311.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Delay Order - 0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,House Account - 9999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Food - 4312.0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,3.29
01/05/2021,Sides - 4313.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Paper - 4314.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Produce - 4315.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Beverages - 4316.0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,3.49
01/05/2021,Catering - 4320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Building Maintenance - 5243.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Equipment Maintenance - 5244.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Equipment Replacement - 5245.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Office Supplies - 5230.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Operating Supplies - 5220.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Cleaning Supplies - 5242.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Miscellaneous - 5699.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Cash Over/Short - 5698.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Outside Services - 5619.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Travel + Lodging - 8630.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Postage/Freight - 8645.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Training Manager Meal - 2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,Overrings - 3315.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,DMR - 5083.0,42.040000000000006,34.98,19.88,53.64,4.99,33.32,8.16,32.66,4.36,20.8,56.190000000000005,11.01,47.94,18.04,388.01000000000005
01/05/2021,0 - 0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,0 - 0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,ACCOUNT TOTALS - 0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/05/2021,DAILY TOTALS - 0.0,42.040000000000006,34.98,19.88,53.64,4.99,33.32,11.65,32.66,4.36,20.8,59.480000000000004,11.01,47.94,18.04,394.7900000000001
01/12/2021,0 - 0.0,01/06/2021,01/06/2021,01/07/2021,01/07/2021,01/08/2021,01/08/2021,01/09/2021,01/09/2021,01/10/2021,01/10/2021,01/11/2021,01/11/2021,01/12/2021,01/12/2021,0.0
01/12/2021,Bread - 4311.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/12/2021,Delay Order - 0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/12/2021,House Account - 9999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/12/2021,Food - 4312.0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5
01/12/2021,Sides - 4313.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/12/2021,Paper - 4314.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01/12/2021,Produce - 4315.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
