week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Office Supplies 5230,Smallwares-KEC 5220,Uniforms-KC 5221,Aprons-Floor Mats 5285,Trash Service 5286,Pest Control 5241,Fuel Surcharge,Misc Monthly Audit Item,Discounts,Delivery Charges,Tax,Invoice Totals
01/04/2022,496687793 (6303960),12/30/2021,0,Sysco Food Services,0,555.41,2796.52,533.7,299.39,0,205.04,32.01,158.02,0,0,0,0,0,0,4.5,0,0,0,17.94,4602.53
01/11/2022,496708252 (6313566),01/06/2022,0,Sysco Food Services,0,514.0,2105.95,721.58,314.43,0,426.85,74.07,112.61,0,0,0,0,0,0,0.0,0,0,0,9.29,4278.78
01/18/2022,496726307 (6315349),01/13/2022,0,Sysco Food Services,0,514.0,2497.56,638.49,76.25,0,268.84,32.01,117.46,0,0,0,0,0,0,0.0,0,0,0,0.0,4144.61
01/25/2022,496743993 (6324894),01/20/2022,0,Sysco Food Services,0,514.0,1823.73,790.4,337.62,0,237.95,32.01,76.42,0,0,0,0,0,0,3.5,0,0,0,6.31,3821.94
02/01/2022,496761476 (6340158),01/27/2022,0,Sysco Food Services,0,557.74,2553.66,698.65,250.89,0,360.54,0.0,96.94,0,0,0,0,0,0,3.5,0,0,0,12.89,4534.81
02/08/2022,496787873 (6351631),02/06/2022,0,Sysco Food Services,0,514.0,2460.74,755.99,209.02,0,428.1,47.15,117.46,0,0,0,0,0,0,4.0,0,0,0,9.7,4546.16
02/15/2022,496798090 (6354307),02/10/2022,0,Sysco Food Services,0,426.52,1810.32,698.65,238.29,0,126.49,123.55,15.67,0,0,0,0,0,0,4.0,0,0,0,1.29,3444.78
02/22/2022,496824225 (6369447),02/21/2022,0,Sysco Food Services,0,0.0,0.0,374.14,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,374.14
02/22/2022,496816040 (6369451),02/17/2022,0,Sysco Food Services,0,0.0,212.44,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,212.44
02/22/2022,496816041 (6369453),02/17/2022,0,Sysco Food Services,0,0.0,122.74,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,122.74
02/22/2022,496816042 (6371205),02/17/2022,0,Sysco Food Services,0,603.54,2781.07,419.19,280.25,0,411.34,0.0,117.88,0,0,0,0,0,0,4.0,0,0,0,9.73,4627.0
03/01/2022,496842126 (6386054),02/28/2022,0,Sysco Food Services,0,656.6,2760.13,822.11,378.54,0,428.14,76.68,320.67,0,0,0,0,0,0,0.0,0,0,0,31.35,5474.22
03/01/2022,496842127 (6386065),02/28/2022,0,Sysco Food Services,0,0.0,132.1,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,4.0,0,0,0,0.0,136.1
