year,sum_cash_over_under,avg_Bread_COGS,avg_Food_COGS,avg_Sides_COGS,avg_Paper_COGS,avg_Produce_COGS,avg_Beverage_COGS,avg_Catering_COGS,sub_total_COGS,discounted_total_COGS,transaction_count,avg_dollars_per_transaction,total_dollar_sales,total_less_net_promo,total_net_less_employee_freebies,total_royalty_sales,advertising_payments,media_payments,royalty_payments,total_fees_payments,total_employee_freebies,total_promo,total_waste,total_freebies,total_labor_manager_USD,total_labor_inshop_USD,total_labor_driver_USD,total_labor_tax_USD,total_labor_dmr_USD,total_labor_USD,total_vacation_USD,total_training_pay_USD,total_vacation_tax_USD,total_training_tax_USD,total_vacation_training_USD,total_labor_cost_USD,total_bread_4311,total_food_4312,total_sides_4313,total_paper_4314,total_beverage_4316,total_catering_4320,total_operating_supplies_5220,total_food_fuel_surcharge,total_food_delivery_charges,total_food_tax,food_invoice_totals,total_produce_4315,total_produce_delivery_charges,produce_invoice_totals,shift_1_wed,shift_2_wed,shift_3_thu,shift_4_thu,shift_5_fri,shift_6_fri,shift_7_sat,shift_8_sat,shift_9_sun,shift_10_sun,shift_11_mon,shift_12_mon,shift_13_tue,shift_14_tue,royalty_sales_total
2014,89.36000000000003,0.03770708650299918,0.13862670306720043,0.03527568563809257,0.013164427375455421,0.02335832267170343,0.01577448239529591,0.0010438533685980336,0.2649505610193453,0.26581667484619703,70830,10.05272017506706,712034.1699999999,10543.32,10439.989999999998,691050.86,10365.7629,20731.5258,41463.0516,72560.3403,5379.169999999999,10543.319999999998,345.49,20983.310000000005,70964.88160000001,73726.5289,52206.2552,22544.7827,13767.96,233210.40840000001,5360.0,460.0,613.72,52.67,6486.39,239696.79840000003,26426.730000000003,101090.37670000001,24333.3084,9731.633300000001,11710.12,903.69,2893.58,553.0,0.0,357.5,178020.1704,16828.081000000002,0.0,16828.081000000002,60403.74,37045.719999999994,62344.34,38626.77,67673.99,39462.92,68686.38999999998,36615.219999999994,52956.149999999994,33928.83,60200.17,34831.44,59407.89000000001,38867.29,691050.8600000001
2015,316.04999999999995,0.035773610003723075,0.13628494108553288,0.03278540495594947,0.012826503346733699,0.033566359719652154,0.014999201080177011,0.0010911636694712337,0.2673271838612399,0.26748210823525354,69391,10.79700652822412,749215.08,9186.51,11071.24,728957.33,10934.359950000002,21868.719900000004,43737.43980000001,76540.51965000002,4790.080000000001,9186.51,348.87,20257.750000000004,76947.62090000001,55444.2643,61706.83789999999,22224.3037,18892.420000000002,235215.4468,2220.0,3480.0,254.18999999999997,398.46,6352.65,241568.09679999997,26800.2128,102298.3527,24593.136400000003,9600.24,11210.0,829.73,3531.5599999999995,111.5,0.0,441.92,179416.65189999997,25124.5292,0.0,25124.5292,65326.840000000004,40080.579999999994,67625.99,40698.12999999999,74517.77,40810.399999999994,72863.27,35185.39,53550.21,34391.75,62419.9,35856.83,66675.18000000001,38955.090000000004,728957.3300000001
2016,60.940000000000005,0.033494785743385894,0.11811428211708397,0.03006106320742806,0.01075405338848883,0.032492316933915424,0.014430299993116857,0.0008987111159005288,0.2402455124993198,0.24025793802939044,66054,12.147299028067943,802377.69,17174.960000000003,15637.77,769564.9600000001,11543.4744,23086.9488,46173.8976,80804.32079999999,8977.290000000003,17174.96,547.6600000000001,32812.73,78592.45120000001,56629.3936,61847.8752,22564.4832,20607.940000000002,240242.1432,1710.0,920.0,195.795,105.34,2931.135,243173.2782,26784.8346,94486.78,24094.85,8635.130000000001,11525.154799999998,978.2600000000001,3549.3900000000003,10.0,0.0,417.40999999999997,170481.8094,26159.43,0.0,26159.43,72547.70000000001,42158.67,74212.22000000002,43293.18999999999,79522.14,41816.52,73421.77999999998,38810.33999999999,56675.17999999999,34389.38,68077.41,35406.649999999994,67817.83,41415.95,769564.9600000001
2017,-218.88000000000002,0.03326002434792444,0.11707502206379815,0.02973387479198896,0.01040227201310444,0.02889217428759024,0.01520728586575583,0.0010328504592518595,0.23560350382941422,0.23564318745572105,62690,12.563220290317435,787588.28,7413.06,13295.93,766879.2899999999,11503.18935,23006.3787,46012.7574,80522.32545,7378.12,7413.06,445.25,20708.990000000005,78831.2107,47207.8982,64387.357,21803.829999999998,22213.15,234443.4459,2170.0,200.0,248.46499999999997,22.9,2641.365,237084.8109,26129.1817,91837.95669999998,23367.189599999998,8237.31,12169.65,801.04,3472.37,25.5,0.0,366.9885,166407.18649999998,22935.090000000004,0.0,22935.090000000004,72053.25,38767.880000000005,78605.45000000001,40544.850000000006,83952.34000000001,41745.52,71709.84999999999,37933.630000000005,55308.48,33015.09,70424.64,34739.03,69808.87,38270.41000000001,766879.2900000002
2018,-355.66999999999996,0.032136363900172174,0.11909347046938933,0.030645097133995883,0.010970759639495228,0.02307717985993472,0.014191919064690058,0.0015317943194198727,0.23164658438709762,0.23181535021310537,56849,13.46340903094162,765381.3400000001,9309.21,13206.25,742865.88,11142.988199999998,22285.976399999996,44571.95279999999,78000.91739999998,7943.780000000001,9309.210000000001,410.89000000000004,22515.459999999995,80165.06670000002,62492.846000000005,56158.3966,22764.4674,18721.180000000004,240301.95670000004,460.0,230.0,52.669999999999995,26.335,769.0050000000001,241070.96170000004,24748.04,91955.04000000001,23653.64,8358.134,10802.12,1091.51,2949.0,128.0,0.0,320.8257,164006.30969999998,17419.923200000005,0.0,17419.923200000005,71544.44999999998,37358.770000000004,76665.76,39667.67000000001,81670.42999999998,37884.07000000001,76854.73000000001,36382.69999999999,56099.80999999999,32299.000000000004,67581.90999999999,32167.01,63910.649999999994,32778.92,742865.8800000002
2019,-1228.58,0.035420725691072144,0.1289486673512975,0.031960116729747544,0.011911941972106809,0.020941595208352537,0.014679275787346392,0.0014888024568161457,0.24535112519673938,0.24554865769732337,54068,13.176288007694016,712415.54,9974.3,11992.49,690448.75,10356.73125,20713.4625,41426.925,72497.11875000001,7946.39,9974.300000000001,55.599999999999994,21966.79,84635.14550000001,83757.6252,43401.3287,24250.4242,15917.609999999999,251962.1336,1250.0,0.0,143.125,0.0,1393.125,253355.2586,24738.190799999997,89168.4,22548.3536,8409.03,10488.78,956.7700000000002,1761.75,145.0,0.0,202.81,158419.08440000002,14540.865,0.0,14540.865,62660.19,33924.75,68549.46999999999,35070.12,74396.26,36279.38999999999,70217.26000000001,28515.81,58783.560000000005,27618.799999999996,66821.90999999999,31943.269999999997,64073.33000000001,31594.63,690448.7500000001
2020,245.39000000000001,0.03298853209902462,0.12939447352051764,0.034200180526510394,0.012755375331577782,0.021532305353130023,0.014360466394269411,0.0011959273902465125,0.24642726061527664,0.24676937116140416,56655,13.797037331215249,781671.1499999999,23244.25,8273.86,750153.04,11252.295600000003,22504.591200000006,45009.18240000001,78766.06920000001,4376.58,23244.249999999996,255.14000000000001,31518.11,101444.51999999999,59810.536100000005,48574.140999999996,24025.4432,18525.56,252380.20030000003,150.0,0.0,17.175,0.0,167.175,252547.3753,25370.838799999998,102068.8554,26472.0524,9832.822600000001,11850.4,976.4399999999999,4870.759999999999,106.0,50.0,455.9774,182054.1466,17449.440000000002,35.0,17484.440000000002,74359.43000000002,33692.869999999995,78350.21,34403.67,89214.26999999999,35214.08000000001,76794.9,31865.050000000003,58423.72000000001,28101.980000000003,72232.73999999999,29896.359999999997,76484.38,31119.379999999997,750153.04
2021,1484.44,0.030081490860742553,0.13380222178675216,0.03704192354315936,0.012188619836278407,0.022721702153188115,0.017058150954189288,0.0025597104237259196,0.25545381955803614,0.2555415372840696,66714,14.632921725574842,976220.74,23509.76,7756.009999999998,944954.97,14174.32455,28348.6491,56697.2982,99220.27185,4329.740000000002,24286.530000000002,448.6,32238.06,124886.86689999998,60144.2094,58713.11500000001,27908.709899999998,23103.609999999997,294756.5112,0.0,0.0,0.0,0.0,0.0,294756.5112,29213.960000000003,130273.8864,36187.1065,12297.480000000001,16881.2686,2621.3175000000006,7489.099999999999,85.0,0.0,727.2637,235776.38270000005,21920.7516,0.0,21920.7516,90827.63000000002,48953.91999999999,92509.79000000001,48885.75,96926.14000000001,45202.46,91811.44,36884.840000000004,71048.46999999999,37976.82000000001,88188.96,40889.969999999994,97736.7,57112.08,944954.97
2022,1063.9299999999998,0.030181061202493403,0.1326947012078884,0.040355013425734616,0.0140207892965132,0.017647734374387658,0.017632264872829997,0.002535637857746333,0.25506720223759394,0.25524231378368245,10486,15.17885466336067,159165.47,4383.76,1294.61,153487.09999999995,2302.3065000000006,4604.613000000001,9209.226000000002,16116.145500000004,764.87,4383.76,57.82,5678.37,21239.110099999998,5388.3686,11279.8894,4340.393599999999,3492.51,45740.2717,0.0,0.0,0.0,0.0,0.0,45740.2717,4855.81,22056.96,6452.9,2384.68,2893.29,417.47999999999996,1133.1299999999999,27.5,0.0,98.5,40320.25,2791.29,0.0,2791.29,14365.210000000001,7216.08,11750.119999999999,5955.29,14298.69,7528.48,15648.55,3270.74,14817.36,6408.920000000001,16408.06,7799.95,16566.88,11452.77,153487.09999999998
TOTAL,1456.98,0.0334492978168375,0.12822605362994008,0.033562039994734096,0.012110526911083755,0.024914410062428255,0.015370371823074528,0.0014864945623529375,0.24911919480045144,0.24934634874512746,513737,12.867639642273662,6446069.46,114739.12999999999,92968.15,6238362.18,93575.4327,187150.8654,374301.7308,655028.0288999999,51886.02000000001,115515.90000000001,2915.32,208679.57,717706.8736,504601.6703,458275.196,192426.8379,155241.94,2028252.5178,13320.0,5290.0,1525.14,605.705,20740.845,2048993.3628,215067.7987,825236.6079,211702.53689999998,77486.45989999999,99530.7834,9576.2375,31650.640000000003,1191.5,50.0,3389.1953000000003,1474901.9916,165169.40000000002,35.0,165204.40000000002,584088.4400000001,319199.24,610613.35,327145.44,662172.0299999999,325943.83999999997,618008.1699999999,285463.72,477662.93999999994,268130.57,572355.7000000001,283530.51,582481.7100000001,321566.52,6238362.180000001
