year,total_bread_4311,total_food_4312,total_sides_4313,total_paper_4314,total_beverage_4316,total_catering_4320,total_operating_supplies_5220,total_food_fuel_surcharge,total_food_delivery_charges,total_food_tax,food_invoice_totals
2014,"$26,426.73","$101,090.38","$24,333.31","$9,731.63","$11,710.12",$903.69,"$2,893.58",$553.00,$0.00,$357.50,"$178,020.17"
2015,"$26,800.21","$102,298.35","$24,593.14","$9,600.24","$11,210.00",$829.73,"$3,531.56",$111.50,$0.00,$441.92,"$179,416.65"
2016,"$26,784.83","$94,486.78","$24,094.85","$8,635.13","$11,525.15",$978.26,"$3,549.39",$10.00,$0.00,$417.41,"$170,481.81"
2017,"$26,129.18","$91,837.96","$23,367.19","$8,237.31","$12,169.65",$801.04,"$3,472.37",$25.50,$0.00,$366.99,"$166,407.19"
2018,"$24,748.04","$91,955.04","$23,653.64","$8,358.13","$10,802.12","$1,091.51","$2,949.00",$128.00,$0.00,$320.83,"$164,006.31"
2019,"$24,738.19","$89,168.40","$22,548.35","$8,409.03","$10,488.78",$956.77,"$1,761.75",$145.00,$0.00,$202.81,"$158,419.08"
2020,"$25,370.84","$102,068.86","$26,472.05","$9,832.82","$11,850.40",$976.44,"$4,870.76",$106.00,$50.00,$455.98,"$182,054.15"
2021,"$29,213.96","$130,273.89","$36,187.11","$12,297.48","$16,881.27","$2,621.32","$7,489.10",$85.00,$0.00,$727.26,"$235,776.38"
2022,"$4,855.81","$22,056.96","$6,452.90","$2,384.68","$2,893.29",$417.48,"$1,133.13",$27.50,$0.00,$98.50,"$40,320.25"
TOTAL,"$215,067.80","$825,236.61","$211,702.54","$77,486.46","$99,530.78","$9,576.24","$31,650.64","$1,191.50",$50.00,"$3,389.20","$1,474,901.99"
