year,shift_1_wed,shift_2_wed,shift_3_thu,shift_4_thu,shift_5_fri,shift_6_fri,shift_7_sat,shift_8_sat,shift_9_sun,shift_10_sun,shift_11_mon,shift_12_mon,shift_13_tue,shift_14_tue,royalty_sales_total
2014,"$60,403.74","$37,045.72","$62,344.34","$38,626.77","$67,673.99","$39,462.92","$68,686.39","$36,615.22","$52,956.15","$33,928.83","$60,200.17","$34,831.44","$59,407.89","$38,867.29","$691,050.86"
2015,"$65,326.84","$40,080.58","$67,625.99","$40,698.13","$74,517.77","$40,810.40","$72,863.27","$35,185.39","$53,550.21","$34,391.75","$62,419.90","$35,856.83","$66,675.18","$38,955.09","$728,957.33"
2016,"$72,547.70","$42,158.67","$74,212.22","$43,293.19","$79,522.14","$41,816.52","$73,421.78","$38,810.34","$56,675.18","$34,389.38","$68,077.41","$35,406.65","$67,817.83","$41,415.95","$769,564.96"
2017,"$72,053.25","$38,767.88","$78,605.45","$40,544.85","$83,952.34","$41,745.52","$71,709.85","$37,933.63","$55,308.48","$33,015.09","$70,424.64","$34,739.03","$69,808.87","$38,270.41","$766,879.29"
2018,"$71,544.45","$37,358.77","$76,665.76","$39,667.67","$81,670.43","$37,884.07","$76,854.73","$36,382.70","$56,099.81","$32,299.00","$67,581.91","$32,167.01","$63,910.65","$32,778.92","$742,865.88"
2019,"$62,660.19","$33,924.75","$68,549.47","$35,070.12","$74,396.26","$36,279.39","$70,217.26","$28,515.81","$58,783.56","$27,618.80","$66,821.91","$31,943.27","$64,073.33","$31,594.63","$690,448.75"
2020,"$74,359.43","$33,692.87","$78,350.21","$34,403.67","$89,214.27","$35,214.08","$76,794.90","$31,865.05","$58,423.72","$28,101.98","$72,232.74","$29,896.36","$76,484.38","$31,119.38","$750,153.04"
2021,"$90,827.63","$48,953.92","$92,509.79","$48,885.75","$96,926.14","$45,202.46","$91,811.44","$36,884.84","$71,048.47","$37,976.82","$88,188.96","$40,889.97","$97,736.70","$57,112.08","$944,954.97"
2022,"$14,365.21","$7,216.08","$11,750.12","$5,955.29","$14,298.69","$7,528.48","$15,648.55","$3,270.74","$14,817.36","$6,408.92","$16,408.06","$7,799.95","$16,566.88","$11,452.77","$153,487.10"
TOTAL,"$584,088.44","$319,199.24","$610,613.35","$327,145.44","$662,172.03","$325,943.84","$618,008.17","$285,463.72","$477,662.94","$268,130.57","$572,355.70","$283,530.51","$582,481.71","$321,566.52","$6,238,362.18"
