year,sum_cash_over_under,avg_Bread_COGS,avg_Food_COGS,avg_Sides_COGS,avg_Paper_COGS,avg_Produce_COGS,avg_Beverage_COGS,avg_Catering_COGS,sub_total_COGS,discounted_total_COGS
2014,89.36000000000003,0.03770708650299918,0.13862670306720043,0.03527568563809257,0.013164427375455421,0.02335832267170343,0.01577448239529591,0.0010438533685980336,0.2649505610193453,0.26581667484619703
2015,316.04999999999995,0.035773610003723075,0.13628494108553288,0.03278540495594947,0.012826503346733699,0.033566359719652154,0.014999201080177011,0.0010911636694712337,0.2673271838612399,0.26748210823525354
2016,60.940000000000005,0.033494785743385894,0.11811428211708397,0.03006106320742806,0.01075405338848883,0.032492316933915424,0.014430299993116857,0.0008987111159005288,0.2402455124993198,0.24025793802939044
2017,-218.88000000000002,0.03326002434792444,0.11707502206379815,0.02973387479198896,0.01040227201310444,0.02889217428759024,0.01520728586575583,0.0010328504592518595,0.23560350382941422,0.23564318745572105
2018,-355.66999999999996,0.032136363900172174,0.11909347046938933,0.030645097133995883,0.010970759639495228,0.02307717985993472,0.014191919064690058,0.0015317943194198727,0.23164658438709762,0.23181535021310537
2019,-1228.58,0.035420725691072144,0.1289486673512975,0.031960116729747544,0.011911941972106809,0.020941595208352537,0.014679275787346392,0.0014888024568161457,0.24535112519673938,0.24554865769732337
2020,245.39000000000001,0.03298853209902462,0.12939447352051764,0.034200180526510394,0.012755375331577782,0.021532305353130023,0.014360466394269411,0.0011959273902465125,0.24642726061527664,0.24676937116140416
2021,1484.44,0.030081490860742553,0.13380222178675216,0.03704192354315936,0.012188619836278407,0.022721702153188115,0.017058150954189288,0.0025597104237259196,0.25545381955803614,0.2555415372840696
2022,1063.9299999999998,0.030181061202493403,0.1326947012078884,0.040355013425734616,0.0140207892965132,0.017647734374387658,0.017632264872829997,0.002535637857746333,0.25506720223759394,0.25524231378368245
TOTAL,1456.98,0.0334492978168375,0.12822605362994008,0.033562039994734096,0.012110526911083755,0.024914410062428255,0.015370371823074528,0.0014864945623529375,0.24911919480045144,0.24934634874512746
