year,transaction_count,avg_dollars_per_transaction,total_dollar_sales,total_less_net_promo,total_net_less_employee_freebies,total_royalty_sales
2014,70830,10.05272017506706,712034.1699999999,10543.32,10439.989999999998,691050.86
2015,69391,10.79700652822412,749215.08,9186.51,11071.24,728957.33
2016,66054,12.147299028067943,802377.69,17174.960000000003,15637.77,769564.9600000001
2017,62690,12.563220290317435,787588.28,7413.06,13295.93,766879.2899999999
2018,56849,13.46340903094162,765381.3400000001,9309.21,13206.25,742865.88
2019,54068,13.176288007694016,712415.54,9974.3,11992.49,690448.75
2020,56655,13.797037331215249,781671.1499999999,23244.25,8273.86,750153.04
2021,66714,14.632921725574842,976220.74,23509.76,7756.009999999998,944954.97
2022,10486,15.17885466336067,159165.47,4383.76,1294.61,153487.09999999995
TOTAL,513737,12.867639642273662,6446069.46,114739.12999999999,92968.15,6238362.18
