year,advertising_payments,media_payments,royalty_payments,total_fees_payments
2014,10365.7629,20731.5258,41463.0516,72560.3403
2015,10934.359950000002,21868.719900000004,43737.43980000001,76540.51965000002
2016,11543.4744,23086.9488,46173.8976,80804.32079999999
2017,11503.18935,23006.3787,46012.7574,80522.32545
2018,11142.988199999998,22285.976399999996,44571.95279999999,78000.91739999998
2019,10356.73125,20713.4625,41426.925,72497.11875000001
2020,11252.295600000003,22504.591200000006,45009.18240000001,78766.06920000001
2021,14174.32455,28348.6491,56697.2982,99220.27185
2022,2302.3065000000006,4604.613000000001,9209.226000000002,16116.145500000004
TOTAL,93575.4327,187150.8654,374301.7308,655028.0288999999
