year,total_labor_manager_USD,total_labor_inshop_USD,total_labor_driver_USD,total_labor_tax_USD,total_labor_dmr_USD,total_labor_USD,total_vacation_USD,total_training_pay_USD,total_vacation_tax_USD,total_training_tax_USD,total_vacation_training_USD,total_labor_cost_USD
2014,70964.88160000001,73726.5289,52206.2552,22544.7827,13767.96,233210.40840000001,5360.0,460.0,613.72,52.67,6486.39,239696.79840000003
2015,76947.62090000001,55444.2643,61706.83789999999,22224.3037,18892.420000000002,235215.4468,2220.0,3480.0,254.18999999999997,398.46,6352.65,241568.09679999997
2016,78592.45120000001,56629.3936,61847.8752,22564.4832,20607.940000000002,240242.1432,1710.0,920.0,195.795,105.34,2931.135,243173.2782
2017,78831.2107,47207.8982,64387.357,21803.829999999998,22213.15,234443.4459,2170.0,200.0,248.46499999999997,22.9,2641.365,237084.8109
2018,80165.06670000002,62492.846000000005,56158.3966,22764.4674,18721.180000000004,240301.95670000004,460.0,230.0,52.669999999999995,26.335,769.0050000000001,241070.96170000004
2019,84635.14550000001,83757.6252,43401.3287,24250.4242,15917.609999999999,251962.1336,1250.0,0.0,143.125,0.0,1393.125,253355.2586
2020,101444.51999999999,59810.536100000005,48574.140999999996,24025.4432,18525.56,252380.20030000003,150.0,0.0,17.175,0.0,167.175,252547.3753
2021,124886.86689999998,60144.2094,58713.11500000001,27908.709899999998,23103.609999999997,294756.5112,0.0,0.0,0.0,0.0,0.0,294756.5112
2022,21239.110099999998,5388.3686,11279.8894,4340.393599999999,3492.51,45740.2717,0.0,0.0,0.0,0.0,0.0,45740.2717
TOTAL,717706.8736,504601.6703,458275.196,192426.8379,155241.94,2028252.5178,13320.0,5290.0,1525.14,605.705,20740.845,2048993.3628
