year,shift_1_wed,shift_2_wed,shift_3_thu,shift_4_thu,shift_5_fri,shift_6_fri,shift_7_sat,shift_8_sat,shift_9_sun,shift_10_sun,shift_11_mon,shift_12_mon,shift_13_tue,shift_14_tue,royalty_sales_total
2014,60403.74,37045.719999999994,62344.34,38626.77,67673.99,39462.92,68686.38999999998,36615.219999999994,52956.149999999994,33928.83,60200.17,34831.44,59407.89000000001,38867.29,691050.8600000001
2015,65326.840000000004,40080.579999999994,67625.99,40698.12999999999,74517.77,40810.399999999994,72863.27,35185.39,53550.21,34391.75,62419.9,35856.83,66675.18000000001,38955.090000000004,728957.3300000001
2016,72547.70000000001,42158.67,74212.22000000002,43293.18999999999,79522.14,41816.52,73421.77999999998,38810.33999999999,56675.17999999999,34389.38,68077.41,35406.649999999994,67817.83,41415.95,769564.9600000001
2017,72053.25,38767.880000000005,78605.45000000001,40544.850000000006,83952.34000000001,41745.52,71709.84999999999,37933.630000000005,55308.48,33015.09,70424.64,34739.03,69808.87,38270.41000000001,766879.2900000002
2018,71544.44999999998,37358.770000000004,76665.76,39667.67000000001,81670.42999999998,37884.07000000001,76854.73000000001,36382.69999999999,56099.80999999999,32299.000000000004,67581.90999999999,32167.01,63910.649999999994,32778.92,742865.8800000002
2019,62660.19,33924.75,68549.46999999999,35070.12,74396.26,36279.38999999999,70217.26000000001,28515.81,58783.560000000005,27618.799999999996,66821.90999999999,31943.269999999997,64073.33000000001,31594.63,690448.7500000001
2020,74359.43000000002,33692.869999999995,78350.21,34403.67,89214.26999999999,35214.08000000001,76794.9,31865.050000000003,58423.72000000001,28101.980000000003,72232.73999999999,29896.359999999997,76484.38,31119.379999999997,750153.04
2021,90827.63000000002,48953.91999999999,92509.79000000001,48885.75,96926.14000000001,45202.46,91811.44,36884.840000000004,71048.46999999999,37976.82000000001,88188.96,40889.969999999994,97736.7,57112.08,944954.97
2022,14365.210000000001,7216.08,11750.119999999999,5955.29,14298.69,7528.48,15648.55,3270.74,14817.36,6408.920000000001,16408.06,7799.95,16566.88,11452.77,153487.09999999998
TOTAL,584088.4400000001,319199.24,610613.35,327145.44,662172.0299999999,325943.83999999997,618008.1699999999,285463.72,477662.93999999994,268130.57,572355.7000000001,283530.51,582481.7100000001,321566.52,6238362.180000001
